Year,Units,COMMENT_OBS_0,Länder,GeoCode,Age group,Sex,Value
2013,Percentage,,,,25 to under 30 years,Female,7.15
2017,Percentage,,,,25 to under 30 years,Female,8.037
2021,Percentage,,,,25 to under 30 years,Female,8.958
2000,Percentage,.,,,25 to under 30 years,Female,
2001,Percentage,.,,,25 to under 30 years,Female,
2002,Percentage,.,,,25 to under 30 years,Female,
2004,Percentage,.,,,25 to under 30 years,Female,
2006,Percentage,.,,,25 to under 30 years,Female,
2007,Percentage,.,,,25 to under 30 years,Female,
2008,Percentage,.,,,25 to under 30 years,Female,
2010,Percentage,.,,,25 to under 30 years,Female,
2011,Percentage,.,,,25 to under 30 years,Female,
2012,Percentage,.,,,25 to under 30 years,Female,
2014,Percentage,.,,,25 to under 30 years,Female,
2015,Percentage,.,,,25 to under 30 years,Female,
2016,Percentage,.,,,25 to under 30 years,Female,
2018,Percentage,.,,,25 to under 30 years,Female,
2019,Percentage,.,,,25 to under 30 years,Female,
2020,Percentage,.,,,25 to under 30 years,Female,
1999,Percentage,,,,30 to under 35 years,Female,
2003,Percentage,.,,,30 to under 35 years,Female,
2005,Percentage,.,,,30 to under 35 years,Female,
2009,Percentage,.,,,30 to under 35 years,Female,
2013,Percentage,,,,30 to under 35 years,Female,9.543
2017,Percentage,,,,30 to under 35 years,Female,10.136
2021,Percentage,,,,30 to under 35 years,Female,12.29
2000,Percentage,.,,,30 to under 35 years,Female,
2001,Percentage,.,,,30 to under 35 years,Female,
2002,Percentage,.,,,30 to under 35 years,Female,
2004,Percentage,.,,,30 to under 35 years,Female,
2006,Percentage,.,,,30 to under 35 years,Female,
2007,Percentage,.,,,30 to under 35 years,Female,
2008,Percentage,.,,,30 to under 35 years,Female,
2010,Percentage,.,,,30 to under 35 years,Female,
2011,Percentage,.,,,30 to under 35 years,Female,
2012,Percentage,.,,,30 to under 35 years,Female,
2014,Percentage,.,,,30 to under 35 years,Female,
2015,Percentage,.,,,30 to under 35 years,Female,
2016,Percentage,.,,,30 to under 35 years,Female,
2018,Percentage,.,,,30 to under 35 years,Female,
2019,Percentage,.,,,30 to under 35 years,Female,
2020,Percentage,.,,,30 to under 35 years,Female,
1999,Percentage,,,,35 to under 40 years,Female,
2003,Percentage,.,,,35 to under 40 years,Female,
2005,Percentage,.,,,35 to under 40 years,Female,
2009,Percentage,.,,,35 to under 40 years,Female,
2013,Percentage,,,,35 to under 40 years,Female,10.402
2017,Percentage,,,,35 to under 40 years,Female,10.833
2021,Percentage,,,,35 to under 40 years,Female,11.281
2000,Percentage,.,,,35 to under 40 years,Female,
2001,Percentage,.,,,35 to under 40 years,Female,
2002,Percentage,.,,,35 to under 40 years,Female,
2004,Percentage,.,,,35 to under 40 years,Female,
2006,Percentage,.,,,35 to under 40 years,Female,
2007,Percentage,.,,,35 to under 40 years,Female,
2008,Percentage,.,,,35 to under 40 years,Female,
2010,Percentage,.,,,35 to under 40 years,Female,
2011,Percentage,.,,,35 to under 40 years,Female,
2012,Percentage,.,,,35 to under 40 years,Female,
2014,Percentage,.,,,35 to under 40 years,Female,
2015,Percentage,.,,,35 to under 40 years,Female,
2016,Percentage,.,,,35 to under 40 years,Female,
2018,Percentage,.,,,35 to under 40 years,Female,
2019,Percentage,.,,,35 to under 40 years,Female,
2020,Percentage,.,,,35 to under 40 years,Female,
1999,Percentage,,,,40 to under 45 years,Female,
2003,Percentage,.,,,40 to under 45 years,Female,
2005,Percentage,.,,,40 to under 45 years,Female,
2009,Percentage,.,,,40 to under 45 years,Female,
2013,Percentage,,,,40 to under 45 years,Female,11.419
2017,Percentage,,,,40 to under 45 years,Female,12.254
2021,Percentage,,,,40 to under 45 years,Female,13.034
2000,Percentage,.,,,40 to under 45 years,Female,
2001,Percentage,.,,,40 to under 45 years,Female,
2002,Percentage,.,,,40 to under 45 years,Female,
2004,Percentage,.,,,40 to under 45 years,Female,
2006,Percentage,.,,,40 to under 45 years,Female,
2007,Percentage,.,,,40 to under 45 years,Female,
2008,Percentage,.,,,40 to under 45 years,Female,
2010,Percentage,.,,,40 to under 45 years,Female,
2011,Percentage,.,,,40 to under 45 years,Female,
2012,Percentage,.,,,40 to under 45 years,Female,
2014,Percentage,.,,,40 to under 45 years,Female,
2015,Percentage,.,,,40 to under 45 years,Female,
2016,Percentage,.,,,40 to under 45 years,Female,
2018,Percentage,.,,,40 to under 45 years,Female,
2019,Percentage,.,,,40 to under 45 years,Female,
2020,Percentage,.,,,40 to under 45 years,Female,
1999,Percentage,,,,45 to under 50 years,Female,
2003,Percentage,.,,,45 to under 50 years,Female,
2005,Percentage,.,,,45 to under 50 years,Female,
2009,Percentage,.,,,45 to under 50 years,Female,
2013,Percentage,,,,45 to under 50 years,Female,12.21
2017,Percentage,,,,45 to under 50 years,Female,12.737
2021,Percentage,,,,45 to under 50 years,Female,15.78
2000,Percentage,.,,,45 to under 50 years,Female,
2001,Percentage,.,,,45 to under 50 years,Female,
2002,Percentage,.,,,45 to under 50 years,Female,
2004,Percentage,.,,,45 to under 50 years,Female,
2006,Percentage,.,,,45 to under 50 years,Female,
2007,Percentage,.,,,45 to under 50 years,Female,
2008,Percentage,.,,,45 to under 50 years,Female,
2010,Percentage,.,,,45 to under 50 years,Female,
2011,Percentage,.,,,45 to under 50 years,Female,
2012,Percentage,.,,,45 to under 50 years,Female,
2014,Percentage,.,,,45 to under 50 years,Female,
2015,Percentage,.,,,45 to under 50 years,Female,
2016,Percentage,.,,,45 to under 50 years,Female,
2018,Percentage,.,,,45 to under 50 years,Female,
2019,Percentage,.,,,45 to under 50 years,Female,
2020,Percentage,.,,,45 to under 50 years,Female,
1999,Percentage,,,,50 to under 55 years,Female,
2003,Percentage,.,,,50 to under 55 years,Female,
2005,Percentage,.,,,50 to under 55 years,Female,
2009,Percentage,.,,,50 to under 55 years,Female,
2013,Percentage,,,,50 to under 55 years,Female,15.033
2017,Percentage,,,,50 to under 55 years,Female,14.766
2021,Percentage,,,,50 to under 55 years,Female,15.398
2000,Percentage,.,,,50 to under 55 years,Female,
2001,Percentage,.,,,50 to under 55 years,Female,
2002,Percentage,.,,,50 to under 55 years,Female,
2004,Percentage,.,,,50 to under 55 years,Female,
2006,Percentage,.,,,50 to under 55 years,Female,
2007,Percentage,.,,,50 to under 55 years,Female,
2008,Percentage,.,,,50 to under 55 years,Female,
2010,Percentage,.,,,50 to under 55 years,Female,
2011,Percentage,.,,,50 to under 55 years,Female,
2012,Percentage,.,,,50 to under 55 years,Female,
2014,Percentage,.,,,50 to under 55 years,Female,
2015,Percentage,.,,,50 to under 55 years,Female,
2016,Percentage,.,,,50 to under 55 years,Female,
2018,Percentage,.,,,50 to under 55 years,Female,
2019,Percentage,.,,,50 to under 55 years,Female,
2020,Percentage,.,,,50 to under 55 years,Female,
1999,Percentage,,,,55 to under 60 years,Female,
2003,Percentage,.,,,55 to under 60 years,Female,
2005,Percentage,.,,,55 to under 60 years,Female,
2009,Percentage,.,,,55 to under 60 years,Female,
2013,Percentage,,,,55 to under 60 years,Female,17.315
2017,Percentage,,,,55 to under 60 years,Female,16.552
2021,Percentage,,,,55 to under 60 years,Female,16.677
2000,Percentage,.,,,55 to under 60 years,Female,
2001,Percentage,.,,,55 to under 60 years,Female,
2002,Percentage,.,,,55 to under 60 years,Female,
2004,Percentage,.,,,55 to under 60 years,Female,
2006,Percentage,.,,,55 to under 60 years,Female,
2007,Percentage,.,,,55 to under 60 years,Female,
2008,Percentage,.,,,55 to under 60 years,Female,
2010,Percentage,.,,,55 to under 60 years,Female,
2011,Percentage,.,,,55 to under 60 years,Female,
2012,Percentage,.,,,55 to under 60 years,Female,
2014,Percentage,.,,,55 to under 60 years,Female,
2015,Percentage,.,,,55 to under 60 years,Female,
2016,Percentage,.,,,55 to under 60 years,Female,
2018,Percentage,.,,,55 to under 60 years,Female,
2019,Percentage,.,,,55 to under 60 years,Female,
2020,Percentage,.,,,55 to under 60 years,Female,
1999,Percentage,,,,60 to under 65 years,Female,
2003,Percentage,.,,,60 to under 65 years,Female,
2005,Percentage,.,,,60 to under 65 years,Female,
2009,Percentage,.,,,60 to under 65 years,Female,
2013,Percentage,,,,60 to under 65 years,Female,20.751
2017,Percentage,,,,60 to under 65 years,Female,19.48
2021,Percentage,,,,60 to under 65 years,Female,18.593
2000,Percentage,.,,,60 to under 65 years,Female,
2001,Percentage,.,,,60 to under 65 years,Female,
2002,Percentage,.,,,60 to under 65 years,Female,
2004,Percentage,.,,,60 to under 65 years,Female,
2006,Percentage,.,,,60 to under 65 years,Female,
2007,Percentage,.,,,60 to under 65 years,Female,
2008,Percentage,.,,,60 to under 65 years,Female,
2010,Percentage,.,,,60 to under 65 years,Female,
2011,Percentage,.,,,60 to under 65 years,Female,
2012,Percentage,.,,,60 to under 65 years,Female,
2014,Percentage,.,,,60 to under 65 years,Female,
2015,Percentage,.,,,60 to under 65 years,Female,
2016,Percentage,.,,,60 to under 65 years,Female,
2018,Percentage,.,,,60 to under 65 years,Female,
2019,Percentage,.,,,60 to under 65 years,Female,
2020,Percentage,.,,,60 to under 65 years,Female,
1999,Percentage,,,,65 to under 70 years,Female,
2003,Percentage,.,,,65 to under 70 years,Female,
2005,Percentage,.,,,65 to under 70 years,Female,
2009,Percentage,.,,,65 to under 70 years,Female,
2013,Percentage,,,,65 to under 70 years,Female,20.324
2017,Percentage,,,,65 to under 70 years,Female,21.724
2021,Percentage,,,,65 to under 70 years,Female,19.285
2000,Percentage,.,,,65 to under 70 years,Female,
2001,Percentage,.,,,65 to under 70 years,Female,
2002,Percentage,.,,,65 to under 70 years,Female,
2004,Percentage,.,,,65 to under 70 years,Female,
2006,Percentage,.,,,65 to under 70 years,Female,
2007,Percentage,.,,,65 to under 70 years,Female,
2008,Percentage,.,,,65 to under 70 years,Female,
2010,Percentage,.,,,65 to under 70 years,Female,
2011,Percentage,.,,,65 to under 70 years,Female,
2012,Percentage,.,,,65 to under 70 years,Female,
2014,Percentage,.,,,65 to under 70 years,Female,
2015,Percentage,.,,,65 to under 70 years,Female,
2016,Percentage,.,,,65 to under 70 years,Female,
2018,Percentage,.,,,65 to under 70 years,Female,
2019,Percentage,.,,,65 to under 70 years,Female,
2020,Percentage,.,,,65 to under 70 years,Female,
1999,Percentage,,,,70 to under 75 years,Female,
2003,Percentage,.,,,70 to under 75 years,Female,
2005,Percentage,.,,,70 to under 75 years,Female,
2009,Percentage,.,,,70 to under 75 years,Female,
2013,Percentage,,,,70 to under 75 years,Female,19.42
2017,Percentage,,,,70 to under 75 years,Female,19.855
2021,Percentage,,,,70 to under 75 years,Female,20.051
2000,Percentage,.,,,70 to under 75 years,Female,
2001,Percentage,.,,,70 to under 75 years,Female,
2002,Percentage,.,,,70 to under 75 years,Female,
2004,Percentage,.,,,70 to under 75 years,Female,
2006,Percentage,.,,,70 to under 75 years,Female,
2007,Percentage,.,,,70 to under 75 years,Female,
2008,Percentage,.,,,70 to under 75 years,Female,
2010,Percentage,.,,,70 to under 75 years,Female,
2011,Percentage,.,,,70 to under 75 years,Female,
2012,Percentage,.,,,70 to under 75 years,Female,
2014,Percentage,.,,,70 to under 75 years,Female,
2015,Percentage,.,,,70 to under 75 years,Female,
2016,Percentage,.,,,70 to under 75 years,Female,
2018,Percentage,.,,,70 to under 75 years,Female,
2019,Percentage,.,,,70 to under 75 years,Female,
2020,Percentage,.,,,70 to under 75 years,Female,
1999,Percentage,,,,75 years and older,Female,
2003,Percentage,.,,,75 years and older,Female,
2005,Percentage,.,,,75 years and older,Female,
2009,Percentage,.,,,75 years and older,Female,
2013,Percentage,,,,75 years and older,Female,17.941
2017,Percentage,,,,75 years and older,Female,18.029
2021,Percentage,,,,75 years and older,Female,16.274
2000,Percentage,.,,,75 years and older,Female,
2001,Percentage,.,,,75 years and older,Female,
2002,Percentage,.,,,75 years and older,Female,
2004,Percentage,.,,,75 years and older,Female,
2006,Percentage,.,,,75 years and older,Female,
2007,Percentage,.,,,75 years and older,Female,
2008,Percentage,.,,,75 years and older,Female,
2010,Percentage,.,,,75 years and older,Female,
2011,Percentage,.,,,75 years and older,Female,
2012,Percentage,.,,,75 years and older,Female,
2014,Percentage,.,,,75 years and older,Female,
2015,Percentage,.,,,75 years and older,Female,
2016,Percentage,.,,,75 years and older,Female,
2018,Percentage,.,,,75 years and older,Female,
2019,Percentage,.,,,75 years and older,Female,
2020,Percentage,.,,,75 years and older,Female,
1999,Percentage,,,,,Male,11.1
2003,Percentage,,,,,Male,12.3
2005,Percentage,,,,,Male,13.0
2009,Percentage,,,,,Male,14.2
2013,Percentage,,,,,Male,15.4
2017,Percentage,,,,,Male,16.416
2021,Percentage,,,,,Male,17.298
2000,Percentage,.,,,,Male,
2001,Percentage,.,,,,Male,
2002,Percentage,.,,,,Male,
2004,Percentage,.,,,,Male,
2006,Percentage,.,,,,Male,
2007,Percentage,.,,,,Male,
2008,Percentage,.,,,,Male,
2010,Percentage,.,,,,Male,
2011,Percentage,.,,,,Male,
2012,Percentage,.,,,,Male,
2014,Percentage,.,,,,Male,
2015,Percentage,.,,,,Male,
2016,Percentage,.,,,,Male,
2018,Percentage,.,,,,Male,
2019,Percentage,.,,,,Male,
2020,Percentage,.,,,,Male,
1999,Percentage,,Baden-Wuerttemberg,code08,,Male,10.272
2003,Percentage,,Baden-Wuerttemberg,code08,,Male,11.694
2005,Percentage,,Baden-Wuerttemberg,code08,,Male,12.052
2009,Percentage,,Baden-Wuerttemberg,code08,,Male,13.267
2013,Percentage,,Baden-Wuerttemberg,code08,,Male,14.524
2017,Percentage,,Baden-Wuerttemberg,code08,,Male,15.306
2021,Percentage,,Baden-Wuerttemberg,code08,,Male,15.831
2000,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2001,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2002,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2004,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2006,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2007,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2008,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2010,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2011,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2012,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2014,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2015,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2016,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2018,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2019,Percentage,.,Baden-Wuerttemberg,code08,,Male,
2020,Percentage,.,Baden-Wuerttemberg,code08,,Male,
1999,Percentage,,Bavaria,code09,,Male,11.477
2003,Percentage,,Bavaria,code09,,Male,12.192
2005,Percentage,,Bavaria,code09,,Male,12.619
2009,Percentage,,Bavaria,code09,,Male,13.964
2013,Percentage,,Bavaria,code09,,Male,15.023
2017,Percentage,,Bavaria,code09,,Male,15.659
2021,Percentage,,Bavaria,code09,,Male,15.666
2000,Percentage,.,Bavaria,code09,,Male,
2001,Percentage,.,Bavaria,code09,,Male,
2002,Percentage,.,Bavaria,code09,,Male,
2004,Percentage,.,Bavaria,code09,,Male,
2006,Percentage,.,Bavaria,code09,,Male,
2007,Percentage,.,Bavaria,code09,,Male,
2008,Percentage,.,Bavaria,code09,,Male,
2010,Percentage,.,Bavaria,code09,,Male,
2011,Percentage,.,Bavaria,code09,,Male,
2012,Percentage,.,Bavaria,code09,,Male,
2014,Percentage,.,Bavaria,code09,,Male,
2015,Percentage,.,Bavaria,code09,,Male,
2016,Percentage,.,Bavaria,code09,,Male,
2018,Percentage,.,Bavaria,code09,,Male,
2019,Percentage,.,Bavaria,code09,,Male,
2020,Percentage,.,Bavaria,code09,,Male,
1999,Percentage,,Berlin,code11,,Male,8.869
2003,Percentage,,Berlin,code11,,Male,9.642
2005,Percentage,,Berlin,code11,,Male,11.389
2009,Percentage,,Berlin,code11,,Male,11.521
2013,Percentage,,Berlin,code11,,Male,12.313
2017,Percentage,,Berlin,code11,,Male,12.715
2021,Percentage,,Berlin,code11,,Male,14.23
2000,Percentage,.,Berlin,code11,,Male,
2001,Percentage,.,Berlin,code11,,Male,
2002,Percentage,.,Berlin,code11,,Male,
2004,Percentage,.,Berlin,code11,,Male,
2006,Percentage,.,Berlin,code11,,Male,
2007,Percentage,.,Berlin,code11,,Male,
2008,Percentage,.,Berlin,code11,,Male,
2010,Percentage,.,Berlin,code11,,Male,
2011,Percentage,.,Berlin,code11,,Male,
2012,Percentage,.,Berlin,code11,,Male,
2014,Percentage,.,Berlin,code11,,Male,
2015,Percentage,.,Berlin,code11,,Male,
2016,Percentage,.,Berlin,code11,,Male,
2018,Percentage,.,Berlin,code11,,Male,
2019,Percentage,.,Berlin,code11,,Male,
2020,Percentage,.,Berlin,code11,,Male,
1999,Percentage,,Brandenburg,code12,,Male,12.891
2003,Percentage,,Brandenburg,code12,,Male,12.559
2005,Percentage,,Brandenburg,code12,,Male,13.83
2009,Percentage,,Brandenburg,code12,,Male,15.353
2013,Percentage,,Brandenburg,code12,,Male,15.498
2017,Percentage,,Brandenburg,code12,,Male,16.444
2021,Percentage,,Brandenburg,code12,,Male,18.682
2000,Percentage,.,Brandenburg,code12,,Male,
2001,Percentage,.,Brandenburg,code12,,Male,
2002,Percentage,.,Brandenburg,code12,,Male,
2004,Percentage,.,Brandenburg,code12,,Male,
2006,Percentage,.,Brandenburg,code12,,Male,
2007,Percentage,.,Brandenburg,code12,,Male,
2008,Percentage,.,Brandenburg,code12,,Male,
2010,Percentage,.,Brandenburg,code12,,Male,
2011,Percentage,.,Brandenburg,code12,,Male,
2012,Percentage,.,Brandenburg,code12,,Male,
2014,Percentage,.,Brandenburg,code12,,Male,
2015,Percentage,.,Brandenburg,code12,,Male,
2016,Percentage,.,Brandenburg,code12,,Male,
2018,Percentage,.,Brandenburg,code12,,Male,
2019,Percentage,.,Brandenburg,code12,,Male,
2020,Percentage,.,Brandenburg,code12,,Male,
1999,Percentage,,Bremen,code04,,Male,9.347
2003,Percentage,,Bremen,code04,,Male,11.639
2005,Percentage,,Bremen,code04,,Male,11.052
2009,Percentage,,Bremen,code04,,Male,11.17
2013,Percentage,,Bremen,code04,,Male,13.582
2017,Percentage,,Bremen,code04,,Male,18.33
2021,Percentage,,Bremen,code04,,Male,18.793
2000,Percentage,.,Bremen,code04,,Male,
2001,Percentage,.,Bremen,code04,,Male,
2002,Percentage,.,Bremen,code04,,Male,
2004,Percentage,.,Bremen,code04,,Male,
2006,Percentage,.,Bremen,code04,,Male,
2007,Percentage,.,Bremen,code04,,Male,
2008,Percentage,.,Bremen,code04,,Male,
2010,Percentage,.,Bremen,code04,,Male,
2011,Percentage,.,Bremen,code04,,Male,
2012,Percentage,.,Bremen,code04,,Male,
2014,Percentage,.,Bremen,code04,,Male,
2015,Percentage,.,Bremen,code04,,Male,
2016,Percentage,.,Bremen,code04,,Male,
2018,Percentage,.,Bremen,code04,,Male,
2019,Percentage,.,Bremen,code04,,Male,
2020,Percentage,.,Bremen,code04,,Male,
1999,Percentage,,Hamburg,code02,,Male,8.204
2003,Percentage,,Hamburg,code02,,Male,9.839
2005,Percentage,,Hamburg,code02,,Male,11.122
2009,Percentage,,Hamburg,code02,,Male,10.448
2013,Percentage,,Hamburg,code02,,Male,11.511
2017,Percentage,,Hamburg,code02,,Male,12.849
2021,Percentage,,Hamburg,code02,,Male,12.609
2000,Percentage,.,Hamburg,code02,,Male,
2001,Percentage,.,Hamburg,code02,,Male,
2002,Percentage,.,Hamburg,code02,,Male,
2004,Percentage,.,Hamburg,code02,,Male,
2006,Percentage,.,Hamburg,code02,,Male,
2007,Percentage,.,Hamburg,code02,,Male,
2008,Percentage,.,Hamburg,code02,,Male,
2010,Percentage,.,Hamburg,code02,,Male,
2011,Percentage,.,Hamburg,code02,,Male,
2012,Percentage,.,Hamburg,code02,,Male,
2014,Percentage,.,Hamburg,code02,,Male,
2015,Percentage,.,Hamburg,code02,,Male,
2016,Percentage,.,Hamburg,code02,,Male,
2018,Percentage,.,Hamburg,code02,,Male,
2019,Percentage,.,Hamburg,code02,,Male,
2020,Percentage,.,Hamburg,code02,,Male,
1999,Percentage,,Hesse,code06,,Male,11.322
2003,Percentage,,Hesse,code06,,Male,12.379
2005,Percentage,,Hesse,code06,,Male,13.029
2009,Percentage,,Hesse,code06,,Male,14.522
2013,Percentage,,Hesse,code06,,Male,15.721
2017,Percentage,,Hesse,code06,,Male,16.837
2021,Percentage,,Hesse,code06,,Male,18.153
2000,Percentage,.,Hesse,code06,,Male,
2001,Percentage,.,Hesse,code06,,Male,
2002,Percentage,.,Hesse,code06,,Male,
2004,Percentage,.,Hesse,code06,,Male,
2006,Percentage,.,Hesse,code06,,Male,
2007,Percentage,.,Hesse,code06,,Male,
2008,Percentage,.,Hesse,code06,,Male,
2010,Percentage,.,Hesse,code06,,Male,
2011,Percentage,.,Hesse,code06,,Male,
2012,Percentage,.,Hesse,code06,,Male,
2014,Percentage,.,Hesse,code06,,Male,
2015,Percentage,.,Hesse,code06,,Male,
2016,Percentage,.,Hesse,code06,,Male,
2018,Percentage,.,Hesse,code06,,Male,
2019,Percentage,.,Hesse,code06,,Male,
2020,Percentage,.,Hesse,code06,,Male,
1999,Percentage,,Mecklenburg Western Pomerania,code13,,Male,13.705
2003,Percentage,,Mecklenburg Western Pomerania,code13,,Male,16.471
2005,Percentage,,Mecklenburg Western Pomerania,code13,,Male,17.022
2009,Percentage,,Mecklenburg Western Pomerania,code13,,Male,17.148
2013,Percentage,,Mecklenburg Western Pomerania,code13,,Male,18.039
2017,Percentage,,Mecklenburg Western Pomerania,code13,,Male,20.759
2021,Percentage,,Mecklenburg Western Pomerania,code13,,Male,19.337
2000,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2001,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2002,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2004,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2006,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2007,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2008,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2010,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2011,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2012,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2014,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2015,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2016,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2018,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2019,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
2020,Percentage,.,Mecklenburg Western Pomerania,code13,,Male,
1999,Percentage,,Lower Saxony,code03,,Male,10.326
2003,Percentage,,Lower Saxony,code03,,Male,11.33
2005,Percentage,,Lower Saxony,code03,,Male,12.227
2009,Percentage,,Lower Saxony,code03,,Male,13.758
2013,Percentage,,Lower Saxony,code03,,Male,15.226
2017,Percentage,,Lower Saxony,code03,,Male,17.169
2021,Percentage,,Lower Saxony,code03,,Male,19.559
2000,Percentage,.,Lower Saxony,code03,,Male,
2001,Percentage,.,Lower Saxony,code03,,Male,
2002,Percentage,.,Lower Saxony,code03,,Male,
2004,Percentage,.,Lower Saxony,code03,,Male,
2006,Percentage,.,Lower Saxony,code03,,Male,
2007,Percentage,.,Lower Saxony,code03,,Male,
2008,Percentage,.,Lower Saxony,code03,,Male,
2010,Percentage,.,Lower Saxony,code03,,Male,
2011,Percentage,.,Lower Saxony,code03,,Male,
2012,Percentage,.,Lower Saxony,code03,,Male,
2014,Percentage,.,Lower Saxony,code03,,Male,
2015,Percentage,.,Lower Saxony,code03,,Male,
2016,Percentage,.,Lower Saxony,code03,,Male,
2018,Percentage,.,Lower Saxony,code03,,Male,
2019,Percentage,.,Lower Saxony,code03,,Male,
2020,Percentage,.,Lower Saxony,code03,,Male,
1999,Percentage,,North Rhine-Westphalia,code05,,Male,11.001
2003,Percentage,,North Rhine-Westphalia,code05,,Male,12.668
2005,Percentage,,North Rhine-Westphalia,code05,,Male,13.359
2009,Percentage,,North Rhine-Westphalia,code05,,Male,14.77
2013,Percentage,,North Rhine-Westphalia,code05,,Male,16.444
2017,Percentage,,North Rhine-Westphalia,code05,,Male,16.886
2021,Percentage,,North Rhine-Westphalia,code05,,Male,18.556
2000,Percentage,.,North Rhine-Westphalia,code05,,Male,
2001,Percentage,.,North Rhine-Westphalia,code05,,Male,
2002,Percentage,.,North Rhine-Westphalia,code05,,Male,
2004,Percentage,.,North Rhine-Westphalia,code05,,Male,
2006,Percentage,.,North Rhine-Westphalia,code05,,Male,
2007,Percentage,.,North Rhine-Westphalia,code05,,Male,
2008,Percentage,.,North Rhine-Westphalia,code05,,Male,
2010,Percentage,.,North Rhine-Westphalia,code05,,Male,
2011,Percentage,.,North Rhine-Westphalia,code05,,Male,
2012,Percentage,.,North Rhine-Westphalia,code05,,Male,
2014,Percentage,.,North Rhine-Westphalia,code05,,Male,
2015,Percentage,.,North Rhine-Westphalia,code05,,Male,
2016,Percentage,.,North Rhine-Westphalia,code05,,Male,
2018,Percentage,.,North Rhine-Westphalia,code05,,Male,
2019,Percentage,.,North Rhine-Westphalia,code05,,Male,
2020,Percentage,.,North Rhine-Westphalia,code05,,Male,
1999,Percentage,,Rhineland Palatinate,code07,,Male,11.727
2003,Percentage,,Rhineland Palatinate,code07,,Male,13.281
2005,Percentage,,Rhineland Palatinate,code07,,Male,14.264
2009,Percentage,,Rhineland Palatinate,code07,,Male,15.394
2013,Percentage,,Rhineland Palatinate,code07,,Male,17.158
2017,Percentage,,Rhineland Palatinate,code07,,Male,18.091
2021,Percentage,,Rhineland Palatinate,code07,,Male,19.923
2000,Percentage,.,Rhineland Palatinate,code07,,Male,
2001,Percentage,.,Rhineland Palatinate,code07,,Male,
2002,Percentage,.,Rhineland Palatinate,code07,,Male,
2004,Percentage,.,Rhineland Palatinate,code07,,Male,
2006,Percentage,.,Rhineland Palatinate,code07,,Male,
2007,Percentage,.,Rhineland Palatinate,code07,,Male,
2008,Percentage,.,Rhineland Palatinate,code07,,Male,
2010,Percentage,.,Rhineland Palatinate,code07,,Male,
2011,Percentage,.,Rhineland Palatinate,code07,,Male,
2012,Percentage,.,Rhineland Palatinate,code07,,Male,
2014,Percentage,.,Rhineland Palatinate,code07,,Male,
2015,Percentage,.,Rhineland Palatinate,code07,,Male,
2016,Percentage,.,Rhineland Palatinate,code07,,Male,
2018,Percentage,.,Rhineland Palatinate,code07,,Male,
2019,Percentage,.,Rhineland Palatinate,code07,,Male,
2020,Percentage,.,Rhineland Palatinate,code07,,Male,
1999,Percentage,,Saarland,code10,,Male,9.545
2003,Percentage,,Saarland,code10,,Male,10.37
2005,Percentage,,Saarland,code10,,Male,13.872
2009,Percentage,,Saarland,code10,,Male,15.562
2013,Percentage,,Saarland,code10,,Male,16.365
2017,Percentage,,Saarland,code10,,Male,18.154
2021,Percentage,,Saarland,code10,,Male,20.088
2000,Percentage,.,Saarland,code10,,Male,
2001,Percentage,.,Saarland,code10,,Male,
2002,Percentage,.,Saarland,code10,,Male,
2004,Percentage,.,Saarland,code10,,Male,
2006,Percentage,.,Saarland,code10,,Male,
2007,Percentage,.,Saarland,code10,,Male,
2008,Percentage,.,Saarland,code10,,Male,
2010,Percentage,.,Saarland,code10,,Male,
2011,Percentage,.,Saarland,code10,,Male,
2012,Percentage,.,Saarland,code10,,Male,
2014,Percentage,.,Saarland,code10,,Male,
2015,Percentage,.,Saarland,code10,,Male,
2016,Percentage,.,Saarland,code10,,Male,
2018,Percentage,.,Saarland,code10,,Male,
