Year,Units,time series,COMMENT_OBS_0,sex,federal state,GeoCode,qualification,Value
2010,percentage,,,male,thuringia,code16,,30.543
2011,percentage,,,male,thuringia,code16,,29.946
2012,percentage,,,male,thuringia,code16,,32.762
2013,percentage,,,male,thuringia,code16,,32.984
2014,percentage,,,male,thuringia,code16,,31.294
2015,percentage,,,male,thuringia,code16,,29.867
2016,percentage,,,male,thuringia,code16,,33.471
2017,percentage,,,male,thuringia,code16,,32.923
2018,percentage,,,male,thuringia,code16,,38.098
2019,percentage,,,male,thuringia,code16,,38.895
2020,percentage,,,male,thuringia,code16,,43.843
2021,percentage,,r,male,thuringia,code16,,40.844
2022,percentage,,r,male,thuringia,code16,,44.852
2023,percentage,,r,male,thuringia,code16,,43.566
2024,percentage,,p,male,thuringia,code16,,48.909
2005,percentage,,,male,thuringia,code16,,29.065
2006,percentage,,,male,thuringia,code16,,29.747
2007,percentage,,,male,thuringia,code16,,32.62
2008,percentage,,,male,thuringia,code16,,30.442
2009,percentage,,,male,thuringia,code16,,29.14
1999,percentage,,,,,,"secondary education, education after abitur",8.55
2010,percentage,,r,,,,"secondary education, education after abitur",11.56
2011,percentage,,r,,,,"secondary education, education after abitur",11.558
2012,percentage,,r,,,,"secondary education, education after abitur",11.543
2013,percentage,,r,,,,"secondary education, education after abitur",11.409
2014,percentage,,,,,,"secondary education, education after abitur",14.326
2015,percentage,,,,,,"secondary education, education after abitur",14.536
2016,percentage,,r,,,,"secondary education, education after abitur",14.797
2017,percentage,,,,,,"secondary education, education after abitur",14.836
2018,percentage,,,,,,"secondary education, education after abitur",14.907
2019,percentage,,,,,,"secondary education, education after abitur",14.973
2020,percentage,,,,,,"secondary education, education after abitur",15.756
2021,percentage,,r,,,,"secondary education, education after abitur",14.721
2022,percentage,,r,,,,"secondary education, education after abitur",14.465
2023,percentage,,r,,,,"secondary education, education after abitur",14.765
2024,percentage,,p,,,,"secondary education, education after abitur",15.003
2000,percentage,,r,,,,"secondary education, education after abitur",7.666
2001,percentage,,r,,,,"secondary education, education after abitur",8.12
2002,percentage,,r,,,,"secondary education, education after abitur",8.206
2003,percentage,,r,,,,"secondary education, education after abitur",8.873
2004,percentage,,r,,,,"secondary education, education after abitur",9.464
2005,percentage,,,,,,"secondary education, education after abitur",9.929
2006,percentage,,,,,,"secondary education, education after abitur",10.656
2007,percentage,,,,,,"secondary education, education after abitur",11.136
2008,percentage,,r,,,,"secondary education, education after abitur",11.191
2009,percentage,,,,,,"secondary education, education after abitur",11.368
1999,percentage,,,female,,,"secondary education, education after abitur",
2010,percentage,,r,female,,,"secondary education, education after abitur",13.04
2011,percentage,,r,female,,,"secondary education, education after abitur",12.903
2012,percentage,,r,female,,,"secondary education, education after abitur",13.183
2013,percentage,,r,female,,,"secondary education, education after abitur",12.814
2014,percentage,,,female,,,"secondary education, education after abitur",17.633
2015,percentage,,r,female,,,"secondary education, education after abitur",18.226
2016,percentage,,r,female,,,"secondary education, education after abitur",18.417
2017,percentage,,,female,,,"secondary education, education after abitur",18.449
2018,percentage,,r,female,,,"secondary education, education after abitur",18.492
2019,percentage,,r,female,,,"secondary education, education after abitur",18.438
2020,percentage,,r,female,,,"secondary education, education after abitur",19.419
2021,percentage,,r,female,,,"secondary education, education after abitur",18.201
2022,percentage,,r,female,,,"secondary education, education after abitur",17.437
2023,percentage,,r,female,,,"secondary education, education after abitur",17.963
2024,percentage,,p,female,,,"secondary education, education after abitur",17.97
2000,percentage,,r,female,,,"secondary education, education after abitur",9.1
2001,percentage,,.,female,,,"secondary education, education after abitur",
2002,percentage,,.,female,,,"secondary education, education after abitur",
2003,percentage,,,female,,,"secondary education, education after abitur",9.703
2004,percentage,,,female,,,"secondary education, education after abitur",10.396
2005,percentage,,,female,,,"secondary education, education after abitur",10.87
2006,percentage,,,female,,,"secondary education, education after abitur",12.066
2007,percentage,,,female,,,"secondary education, education after abitur",12.365
2008,percentage,,,female,,,"secondary education, education after abitur",12.744
2009,percentage,,,female,,,"secondary education, education after abitur",13.059
1999,percentage,,,male,,,"secondary education, education after abitur",
2010,percentage,,,male,,,"secondary education, education after abitur",10.105
2011,percentage,,r,male,,,"secondary education, education after abitur",10.239
2012,percentage,,r,male,,,"secondary education, education after abitur",9.94
2013,percentage,,,male,,,"secondary education, education after abitur",10.026
2014,percentage,,r,male,,,"secondary education, education after abitur",11.033
2015,percentage,,,male,,,"secondary education, education after abitur",10.935
2016,percentage,,r,male,,,"secondary education, education after abitur",11.297
2017,percentage,,,male,,,"secondary education, education after abitur",11.372
2018,percentage,,,male,,,"secondary education, education after abitur",11.485
2019,percentage,,,male,,,"secondary education, education after abitur",11.683
2020,percentage,,r,male,,,"secondary education, education after abitur",12.264
2021,percentage,,r,male,,,"secondary education, education after abitur",11.436
2022,percentage,,r,male,,,"secondary education, education after abitur",11.641
2023,percentage,,r,male,,,"secondary education, education after abitur",11.727
2024,percentage,,p,male,,,"secondary education, education after abitur",12.205
2000,percentage,,,male,,,"secondary education, education after abitur",6.282
2001,percentage,,.,male,,,"secondary education, education after abitur",
2002,percentage,,.,male,,,"secondary education, education after abitur",
2003,percentage,,r,male,,,"secondary education, education after abitur",8.088
2004,percentage,,r,male,,,"secondary education, education after abitur",8.572
2005,percentage,,,male,,,"secondary education, education after abitur",9.018
2006,percentage,,,male,,,"secondary education, education after abitur",9.274
2007,percentage,,,male,,,"secondary education, education after abitur",9.942
2008,percentage,,r,male,,,"secondary education, education after abitur",9.657
2009,percentage,,,male,,,"secondary education, education after abitur",9.695
1999,percentage,,,,,,higher qualifying vocational training,10.043
2010,percentage,,,,,,higher qualifying vocational training,7.965
2011,percentage,,,,,,higher qualifying vocational training,9.987
2012,percentage,,,,,,higher qualifying vocational training,10.0
2013,percentage,,,,,,higher qualifying vocational training,9.449
2014,percentage,,,,,,higher qualifying vocational training,4.846
2015,percentage,,,,,,higher qualifying vocational training,4.99
2016,percentage,,,,,,higher qualifying vocational training,4.982
2017,percentage,,,,,,higher qualifying vocational training,5.384
2018,percentage,,,,,,higher qualifying vocational training,5.502
2019,percentage,,,,,,higher qualifying vocational training,5.442
2020,percentage,,,,,,higher qualifying vocational training,6.478
2021,percentage,,r,,,,higher qualifying vocational training,7.278
2022,percentage,,r,,,,higher qualifying vocational training,7.339
2023,percentage,,r,,,,higher qualifying vocational training,7.018
2024,percentage,,p,,,,higher qualifying vocational training,7.29
2000,percentage,,,,,,higher qualifying vocational training,10.298
2001,percentage,,,,,,higher qualifying vocational training,9.434
2002,percentage,,,,,,higher qualifying vocational training,9.594
2003,percentage,,,,,,higher qualifying vocational training,8.973
2004,percentage,,,,,,higher qualifying vocational training,9.322
2005,percentage,,,,,,higher qualifying vocational training,8.395
2006,percentage,,,,,,higher qualifying vocational training,7.852
2007,percentage,,,,,,higher qualifying vocational training,7.318
2008,percentage,,,,,,higher qualifying vocational training,7.331
2009,percentage,,,,,,higher qualifying vocational training,7.447
1999,percentage,,,female,,,higher qualifying vocational training,
2010,percentage,,,female,,,higher qualifying vocational training,7.551
2011,percentage,,,female,,,higher qualifying vocational training,10.477
2012,percentage,,,female,,,higher qualifying vocational training,10.372
2013,percentage,,,female,,,higher qualifying vocational training,9.931
2014,percentage,,,female,,,higher qualifying vocational training,3.468
2015,percentage,,,female,,,higher qualifying vocational training,3.678
2016,percentage,,,female,,,higher qualifying vocational training,3.726
2017,percentage,,,female,,,higher qualifying vocational training,3.955
2018,percentage,,,female,,,higher qualifying vocational training,4.282
2019,percentage,,,female,,,higher qualifying vocational training,4.016
2020,percentage,,,female,,,higher qualifying vocational training,5.214
2021,percentage,,r,female,,,higher qualifying vocational training,5.695
2022,percentage,,r,female,,,higher qualifying vocational training,5.687
2023,percentage,,r,female,,,higher qualifying vocational training,5.395
2024,percentage,,p,female,,,higher qualifying vocational training,5.978
2000,percentage,,,female,,,higher qualifying vocational training,9.033
2001,percentage,,.,female,,,higher qualifying vocational training,
2002,percentage,,.,female,,,higher qualifying vocational training,
2003,percentage,,,female,,,higher qualifying vocational training,8.205
2004,percentage,,,female,,,higher qualifying vocational training,8.513
2005,percentage,,,female,,,higher qualifying vocational training,7.528
2006,percentage,,,female,,,higher qualifying vocational training,7.131
2007,percentage,,,female,,,higher qualifying vocational training,6.83
2008,percentage,,,female,,,higher qualifying vocational training,6.782
2009,percentage,,,female,,,higher qualifying vocational training,7.175
1999,percentage,,,male,,,higher qualifying vocational training,
2010,percentage,,,male,,,higher qualifying vocational training,8.371
2011,percentage,,,male,,,higher qualifying vocational training,9.506
2012,percentage,,,male,,,higher qualifying vocational training,9.637
2013,percentage,,,male,,,higher qualifying vocational training,8.973
2014,percentage,,,male,,,higher qualifying vocational training,6.22
2015,percentage,,,male,,,higher qualifying vocational training,6.271
2016,percentage,,,male,,,higher qualifying vocational training,6.196
2017,percentage,,,male,,,higher qualifying vocational training,6.754
2018,percentage,,,male,,,higher qualifying vocational training,6.667
2019,percentage,,,male,,,higher qualifying vocational training,6.796
2020,percentage,,,male,,,higher qualifying vocational training,7.682
2021,percentage,,r,male,,,higher qualifying vocational training,8.772
2022,percentage,,r,male,,,higher qualifying vocational training,8.909
2023,percentage,,r,male,,,higher qualifying vocational training,8.56
2024,percentage,,p,male,,,higher qualifying vocational training,8.528
2000,percentage,,,male,,,higher qualifying vocational training,11.521
2001,percentage,,.,male,,,higher qualifying vocational training,
2002,percentage,,.,male,,,higher qualifying vocational training,
2003,percentage,,,male,,,higher qualifying vocational training,9.698
2004,percentage,,,male,,,higher qualifying vocational training,10.096
2005,percentage,,,male,,,higher qualifying vocational training,9.233
2006,percentage,,,male,,,higher qualifying vocational training,8.559
2007,percentage,,,male,,,higher qualifying vocational training,7.792
2008,percentage,,,male,,,higher qualifying vocational training,7.873
2009,percentage,,,male,,,higher qualifying vocational training,7.716
1999,percentage,,,,,,university degree,14.758
2010,percentage,,,,,,university degree,21.845
2011,percentage,,,,,,university degree,20.718
2012,percentage,,,,,,university degree,21.921
2013,percentage,,,,,,university degree,23.661
2014,percentage,,,,,,university degree,26.562
2015,percentage,,,,,,university degree,27.312
2016,percentage,,,,,,university degree,28.228
2017,percentage,,,,,,university degree,28.615
2018,percentage,,,,,,university degree,29.424
2019,percentage,,,,,,university degree,30.073
2020,percentage,,,,,,university degree,30.051
2021,percentage,,r,,,,university degree,31.643
2022,percentage,,r,,,,university degree,31.743
2023,percentage,,r,,,,university degree,33.556
2024,percentage,,p,,,,university degree,35.035
2000,percentage,,,,,,university degree,15.033
2001,percentage,,,,,,university degree,15.618
2002,percentage,,,,,,university degree,15.477
2003,percentage,,,,,,university degree,16.102
2004,percentage,,,,,,university degree,17.435
2005,percentage,,,,,,university degree,17.677
2006,percentage,,,,,,university degree,17.995
2007,percentage,,,,,,university degree,19.184
2008,percentage,,,,,,university degree,20.344
2009,percentage,,,,,,university degree,21.988
1999,percentage,,,female,,,university degree,
2010,percentage,,,female,,,university degree,22.156
2011,percentage,,,female,,,university degree,21.081
2012,percentage,,,female,,,university degree,22.529
2013,percentage,,,female,,,university degree,24.098
2014,percentage,,,female,,,university degree,27.374
2015,percentage,,,female,,,university degree,28.689
2016,percentage,,,female,,,university degree,29.285
2017,percentage,,,female,,,university degree,30.235
2018,percentage,,,female,,,university degree,31.053
2019,percentage,,,female,,,university degree,31.956
2020,percentage,,,female,,,university degree,31.916
2021,percentage,,r,female,,,university degree,33.594
2022,percentage,,r,female,,,university degree,34.414
2023,percentage,,r,female,,,university degree,36.045
2024,percentage,,p,female,,,university degree,37.633
2000,percentage,,,female,,,university degree,12.747
2001,percentage,,.,female,,,university degree,
2002,percentage,,.,female,,,university degree,
2003,percentage,,,female,,,university degree,14.324
2004,percentage,,,female,,,university degree,15.746
2005,percentage,,,female,,,university degree,16.594
2006,percentage,,,female,,,university degree,17.284
2007,percentage,,,female,,,university degree,18.837
2008,percentage,,,female,,,university degree,20.263
2009,percentage,,,female,,,university degree,22.064
1999,percentage,,,male,,,university degree,
2010,percentage,,,male,,,university degree,21.539
2011,percentage,,,male,,,university degree,20.363
2012,percentage,,,male,,,university degree,21.326
2013,percentage,,,male,,,university degree,23.23
2014,percentage,,,male,,,university degree,25.753
2015,percentage,,,male,,,university degree,25.969
2016,percentage,,,male,,,university degree,27.206
2017,percentage,,,male,,,university degree,27.062
2018,percentage,,,male,,,university degree,27.868
2019,percentage,,,male,,,university degree,28.285
2020,percentage,,,male,,,university degree,28.273
2021,percentage,,r,male,,,university degree,29.8
2022,percentage,,r,male,,,university degree,29.204
2023,percentage,,r,male,,,university degree,31.191
2024,percentage,,p,male,,,university degree,32.585
2000,percentage,,,male,,,university degree,17.239
2001,percentage,,.,male,,,university degree,
2002,percentage,,.,male,,,university degree,
2003,percentage,,,male,,,university degree,17.781
2004,percentage,,,male,,,university degree,19.053
2005,percentage,,,male,,,university degree,18.724
2006,percentage,,,male,,,university degree,18.693
2007,percentage,,,male,,,university degree,19.522
2008,percentage,,,male,,,university degree,20.424
2009,percentage,,,male,,,university degree,21.912
1999,percentage,,,,,,initial training,49.396
2010,percentage,,,,,,initial training,41.065
2011,percentage,,,,,,initial training,40.482
2012,percentage,,,,,,initial training,39.425
2013,percentage,,,,,,initial training,38.693
2014,percentage,,,,,,initial training,38.047
2015,percentage,,,,,,initial training,36.855
2016,percentage,,,,,,initial training,35.171
2017,percentage,,,,,,initial training,34.264
2018,percentage,,,,,,initial training,33.065
2019,percentage,,,,,,initial training,32.248
2020,percentage,,,,,,initial training,28.838
2021,percentage,,r,,,,initial training,26.274
2022,percentage,,r,,,,initial training,24.664
2023,percentage,,r,,,,initial training,22.718
2024,percentage,,p,,,,initial training,21.867
2000,percentage,,,,,,initial training,49.322
2001,percentage,,,,,,initial training,49.65
2002,percentage,,,,,,initial training,48.917
2003,percentage,,,,,,initial training,48.646
2004,percentage,,,,,,initial training,46.517
2005,percentage,,,,,,initial training,44.75
2006,percentage,,,,,,initial training,43.96
2007,percentage,,,,,,initial training,43.504
2008,percentage,,,,,,initial training,42.921
2009,percentage,,,,,,initial training,41.204
1999,percentage,,,female,,,initial training,
2010,percentage,,,female,,,initial training,39.405
2011,percentage,,,female,,,initial training,38.186
2012,percentage,,,female,,,initial training,36.887
2013,percentage,,,female,,,initial training,36.193
2014,percentage,,,female,,,initial training,35.163
2015,percentage,,,female,,,initial training,33.5
2016,percentage,,,female,,,initial training,32.001
2017,percentage,,,female,,,initial training,31.554
2018,percentage,,,female,,,initial training,30.558
2019,percentage,,,female,,,initial training,29.631
2020,percentage,,,female,,,initial training,25.707
2021,percentage,,r,female,,,initial training,24.016
2022,percentage,,r,female,,,initial training,22.266
2023,percentage,,r,female,,,initial training,20.038
2024,percentage,,p,female,,,initial training,19.423
2000,percentage,,,female,,,initial training,50.121
2001,percentage,,.,female,,,initial training,
2002,percentage,,.,female,,,initial training,
2003,percentage,,,female,,,initial training,48.995
2004,percentage,,,female,,,initial training,46.648
2005,percentage,,,female,,,initial training,44.886
2006,percentage,,,female,,,initial training,43.095
2007,percentage,,,female,,,initial training,42.657
2008,percentage,,,female,,,initial training,41.379
2009,percentage,,,female,,,initial training,39.704
1999,percentage,,,male,,,initial training,
2010,percentage,,,male,,,initial training,42.697
2011,percentage,,,male,,,initial training,42.734
2012,percentage,,,male,,,initial training,41.907
2013,percentage,,,male,,,initial training,41.153
2014,percentage,,,male,,,initial training,40.92
2015,percentage,,,male,,,initial training,40.13
2016,percentage,,,male,,,initial training,38.238
2017,percentage,,,male,,,initial training,36.862
2018,percentage,,,male,,,initial training,35.459
2019,percentage,,,male,,,initial training,34.733
2020,percentage,,,male,,,initial training,31.825
2021,percentage,,r,male,,,initial training,28.405
2022,percentage,,r,male,,,initial training,26.943
2023,percentage,,r,male,,,initial training,25.264
2024,percentage,,p,male,,,initial training,24.172
2000,percentage,,,male,,,initial training,48.549
2001,percentage,,.,male,,,initial training,
2002,percentage,,.,male,,,initial training,
2003,percentage,,,male,,,initial training,48.317
2004,percentage,,,male,,,initial training,46.391
2005,percentage,,,male,,,initial training,44.619
2006,percentage,,,male,,,initial training,44.808
2007,percentage,,,male,,,initial training,44.327
2008,percentage,,,male,,,initial training,44.444
2009,percentage,,,male,,,initial training,42.688
1999,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.747
2010,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.435
2011,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.745
2012,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.889
2013,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,83.211
2014,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,83.781
2015,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,83.694
2016,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,83.079
2017,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,83.099
2018,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.898
2019,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.736
2020,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,81.123
2021,percentage,<u>additional time series:</u> skilled labour potential (total),r,,,,,79.916
2022,percentage,<u>additional time series:</u> skilled labour potential (total),r,,,,,78.211
2023,percentage,<u>additional time series:</u> skilled labour potential (total),r,,,,,78.057
2024,percentage,<u>additional time series:</u> skilled labour potential (total),p,,,,,79.196
2000,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.319
2001,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.822
2002,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.193
2003,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.594
2004,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.738
2005,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,80.75
2006,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,80.464
2007,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,81.142
2008,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,81.787
2009,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,,82.007
2030,percentage,<u>additional time series:</u> skilled labour potential (total),…,,,,,
1999,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,
2010,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,82.152
2011,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,82.547
2012,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,82.871
2013,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,83.036
2014,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,83.537
2015,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,83.993
2016,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,83.329
2017,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,84.193
2018,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,84.384
2019,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,84.042
2020,percentage,<u>additional time series:</u> skilled labour potential (total),r,female,,,,82.256
2021,percentage,<u>additional time series:</u> skilled labour potential (total),r,female,,,,81.506
2022,percentage,<u>additional time series:</u> skilled labour potential (total),r,female,,,,79.803
2023,percentage,<u>additional time series:</u> skilled labour potential (total),r,female,,,,79.441
2024,percentage,<u>additional time series:</u> skilled labour potential (total),p,female,,,,81.004
2000,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,81.001
2001,percentage,<u>additional time series:</u> skilled labour potential (total),.,female,,,,
2002,percentage,<u>additional time series:</u> skilled labour potential (total),.,female,,,,
2003,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,81.227
2004,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,81.302
2005,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,79.878
2006,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,79.577
2007,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,80.69
2008,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,81.069
2009,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,,81.903
1999,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,
2010,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,82.713
2011,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,82.843
2012,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,82.81
2013,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,83.382
2014,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,83.825
2015,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,83.205
2016,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,82.836
2017,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,82.051
2018,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,81.479
2019,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,81.497
2020,percentage,<u>additional time series:</u> skilled labour potential (total),r,male,,,,80.044
2021,percentage,<u>additional time series:</u> skilled labour potential (total),r,male,,,,78.413
2022,percentage,<u>additional time series:</u> skilled labour potential (total),r,male,,,,76.698
2023,percentage,<u>additional time series:</u> skilled labour potential (total),r,male,,,,76.742
2024,percentage,<u>additional time series:</u> skilled labour potential (total),p,male,,,,77.49
2000,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,83.591
2001,percentage,<u>additional time series:</u> skilled labour potential (total),.,male,,,,
2002,percentage,<u>additional time series:</u> skilled labour potential (total),.,male,,,,
2003,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,83.784
2004,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,84.113
2005,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,81.594
2006,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,81.333
2007,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,81.583
2008,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,82.299
2009,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,,81.911
