Year,Units,COMMENT_OBS_0,federal state,GeoCode,age group,sex,Value
2012,percentage,.,,,60 to under 65 years,male,
2014,percentage,.,,,60 to under 65 years,male,
2015,percentage,.,,,60 to under 65 years,male,
2016,percentage,.,,,60 to under 65 years,male,
2018,percentage,.,,,60 to under 65 years,male,
2019,percentage,.,,,60 to under 65 years,male,
2020,percentage,.,,,60 to under 65 years,male,
1999,percentage,,,,65 to under 70 years,male,
2003,percentage,.,,,65 to under 70 years,male,
2005,percentage,.,,,65 to under 70 years,male,
2009,percentage,.,,,65 to under 70 years,male,
2013,percentage,,,,65 to under 70 years,male,23.634
2017,percentage,,,,65 to under 70 years,male,25.324
2021,percentage,,,,65 to under 70 years,male,23.024
2000,percentage,.,,,65 to under 70 years,male,
2001,percentage,.,,,65 to under 70 years,male,
2002,percentage,.,,,65 to under 70 years,male,
2004,percentage,.,,,65 to under 70 years,male,
2006,percentage,.,,,65 to under 70 years,male,
2007,percentage,.,,,65 to under 70 years,male,
2008,percentage,.,,,65 to under 70 years,male,
2010,percentage,.,,,65 to under 70 years,male,
2011,percentage,.,,,65 to under 70 years,male,
2012,percentage,.,,,65 to under 70 years,male,
2014,percentage,.,,,65 to under 70 years,male,
2015,percentage,.,,,65 to under 70 years,male,
2016,percentage,.,,,65 to under 70 years,male,
2018,percentage,.,,,65 to under 70 years,male,
2019,percentage,.,,,65 to under 70 years,male,
2020,percentage,.,,,65 to under 70 years,male,
1999,percentage,,,,70 to under 75 years,male,
2003,percentage,.,,,70 to under 75 years,male,
2005,percentage,.,,,70 to under 75 years,male,
2009,percentage,.,,,70 to under 75 years,male,
2013,percentage,,,,70 to under 75 years,male,21.188
2017,percentage,,,,70 to under 75 years,male,22.585
2021,percentage,,,,70 to under 75 years,male,22.602
2000,percentage,.,,,70 to under 75 years,male,
2001,percentage,.,,,70 to under 75 years,male,
2002,percentage,.,,,70 to under 75 years,male,
2004,percentage,.,,,70 to under 75 years,male,
2006,percentage,.,,,70 to under 75 years,male,
2007,percentage,.,,,70 to under 75 years,male,
2008,percentage,.,,,70 to under 75 years,male,
2010,percentage,.,,,70 to under 75 years,male,
2011,percentage,.,,,70 to under 75 years,male,
2012,percentage,.,,,70 to under 75 years,male,
2014,percentage,.,,,70 to under 75 years,male,
2015,percentage,.,,,70 to under 75 years,male,
2016,percentage,.,,,70 to under 75 years,male,
2018,percentage,.,,,70 to under 75 years,male,
2019,percentage,.,,,70 to under 75 years,male,
2020,percentage,.,,,70 to under 75 years,male,
1999,percentage,,,,75 years and older,male,
2003,percentage,.,,,75 years and older,male,
2005,percentage,.,,,75 years and older,male,
2009,percentage,.,,,75 years and older,male,
2013,percentage,,,,75 years and older,male,16.689
2017,percentage,,,,75 years and older,male,17.586
2021,percentage,,,,75 years and older,male,16.147
2000,percentage,.,,,75 years and older,male,
2001,percentage,.,,,75 years and older,male,
2002,percentage,.,,,75 years and older,male,
2004,percentage,.,,,75 years and older,male,
2006,percentage,.,,,75 years and older,male,
2007,percentage,.,,,75 years and older,male,
2008,percentage,.,,,75 years and older,male,
2010,percentage,.,,,75 years and older,male,
2011,percentage,.,,,75 years and older,male,
2012,percentage,.,,,75 years and older,male,
2014,percentage,.,,,75 years and older,male,
2015,percentage,.,,,75 years and older,male,
2016,percentage,.,,,75 years and older,male,
2018,percentage,.,,,75 years and older,male,
2019,percentage,.,,,75 years and older,male,
2020,percentage,.,,,75 years and older,male,
