Year,Units,COMMENT_OBS_0,Sex,Federal state,GeoCode,Value
2023,Percentage,p,,Saxony-Anhalt,code15,13.1
2030,Percentage,…,,Saxony-Anhalt,code15,
1999,Percentage,,Female,Saxony-Anhalt,code15,
2000,Percentage,.,Female,Saxony-Anhalt,code15,
2001,Percentage,.,Female,Saxony-Anhalt,code15,
2002,Percentage,.,Female,Saxony-Anhalt,code15,
2003,Percentage,.,Female,Saxony-Anhalt,code15,
2004,Percentage,.,Female,Saxony-Anhalt,code15,
2005,Percentage,,Female,Saxony-Anhalt,code15,9.8
2006,Percentage,,Female,Saxony-Anhalt,code15,11.0
2007,Percentage,,Female,Saxony-Anhalt,code15,9.5
2008,Percentage,,Female,Saxony-Anhalt,code15,11.2
2009,Percentage,,Female,Saxony-Anhalt,code15,9.8
2010,Percentage,,Female,Saxony-Anhalt,code15,9.1
2011,Percentage,,Female,Saxony-Anhalt,code15,11.6
2012,Percentage,,Female,Saxony-Anhalt,code15,10.1
2013,Percentage,.,Female,Saxony-Anhalt,code15,
2014,Percentage,.,Female,Saxony-Anhalt,code15,
2015,Percentage,,Female,Saxony-Anhalt,code15,11.7
2016,Percentage,.,Female,Saxony-Anhalt,code15,
2017,Percentage,,Female,Saxony-Anhalt,code15,11.9
2018,Percentage,.,Female,Saxony-Anhalt,code15,
2019,Percentage,,Female,Saxony-Anhalt,code15,10.0
2020,Percentage,.,Female,Saxony-Anhalt,code15,
2021,Percentage,.,Female,Saxony-Anhalt,code15,
2022,Percentage,.,Female,Saxony-Anhalt,code15,
2023,Percentage,.,Female,Saxony-Anhalt,code15,
2030,Percentage,…,Female,Saxony-Anhalt,code15,
1999,Percentage,,Male,Saxony-Anhalt,code15,
2000,Percentage,.,Male,Saxony-Anhalt,code15,
2001,Percentage,.,Male,Saxony-Anhalt,code15,
2002,Percentage,.,Male,Saxony-Anhalt,code15,
2003,Percentage,.,Male,Saxony-Anhalt,code15,
2004,Percentage,.,Male,Saxony-Anhalt,code15,
2005,Percentage,,Male,Saxony-Anhalt,code15,14.7
2006,Percentage,,Male,Saxony-Anhalt,code15,13.3
2007,Percentage,,Male,Saxony-Anhalt,code15,14.0
2008,Percentage,,Male,Saxony-Anhalt,code15,13.0
2009,Percentage,,Male,Saxony-Anhalt,code15,11.7
2010,Percentage,,Male,Saxony-Anhalt,code15,13.9
2011,Percentage,,Male,Saxony-Anhalt,code15,14.0
2012,Percentage,,Male,Saxony-Anhalt,code15,11.8
2013,Percentage,,Male,Saxony-Anhalt,code15,10.5
2014,Percentage,,Male,Saxony-Anhalt,code15,9.4
2015,Percentage,,Male,Saxony-Anhalt,code15,12.6
2016,Percentage,,Male,Saxony-Anhalt,code15,13.3
2017,Percentage,,Male,Saxony-Anhalt,code15,15.0
2018,Percentage,,Male,Saxony-Anhalt,code15,10.0
2019,Percentage,,Male,Saxony-Anhalt,code15,14.8
2020,Percentage,.,Male,Saxony-Anhalt,code15,
2021,Percentage,.,Male,Saxony-Anhalt,code15,
2022,Percentage,.,Male,Saxony-Anhalt,code15,
2023,Percentage,.,Male,Saxony-Anhalt,code15,
2030,Percentage,…,Male,Saxony-Anhalt,code15,
1999,Percentage,,,Schleswig-Holstein,code01,
2000,Percentage,.,,Schleswig-Holstein,code01,
2001,Percentage,.,,Schleswig-Holstein,code01,
2002,Percentage,.,,Schleswig-Holstein,code01,
2003,Percentage,.,,Schleswig-Holstein,code01,
2004,Percentage,.,,Schleswig-Holstein,code01,
2005,Percentage,,,Schleswig-Holstein,code01,15.1
2006,Percentage,,,Schleswig-Holstein,code01,17.1
2007,Percentage,,,Schleswig-Holstein,code01,11.8
2008,Percentage,,,Schleswig-Holstein,code01,13.6
2009,Percentage,,,Schleswig-Holstein,code01,12.1
2010,Percentage,,,Schleswig-Holstein,code01,12.6
2011,Percentage,,,Schleswig-Holstein,code01,12.9
2012,Percentage,,,Schleswig-Holstein,code01,12.3
2013,Percentage,,,Schleswig-Holstein,code01,10.3
2014,Percentage,,,Schleswig-Holstein,code01,12.8
2015,Percentage,,,Schleswig-Holstein,code01,10.6
2016,Percentage,,,Schleswig-Holstein,code01,10.7
2017,Percentage,,,Schleswig-Holstein,code01,9.1
2018,Percentage,,,Schleswig-Holstein,code01,10.1
2019,Percentage,,,Schleswig-Holstein,code01,11.0
2020,Percentage,,,Schleswig-Holstein,code01,11.8
2021,Percentage,,,Schleswig-Holstein,code01,12.5
2022,Percentage,,,Schleswig-Holstein,code01,15.2
2023,Percentage,p,,Schleswig-Holstein,code01,17.0
2030,Percentage,…,,Schleswig-Holstein,code01,
1999,Percentage,,Female,Schleswig-Holstein,code01,
2000,Percentage,.,Female,Schleswig-Holstein,code01,
2001,Percentage,.,Female,Schleswig-Holstein,code01,
2002,Percentage,.,Female,Schleswig-Holstein,code01,
2003,Percentage,.,Female,Schleswig-Holstein,code01,
2004,Percentage,.,Female,Schleswig-Holstein,code01,
2005,Percentage,,Female,Schleswig-Holstein,code01,14.2
2006,Percentage,,Female,Schleswig-Holstein,code01,16.1
2007,Percentage,,Female,Schleswig-Holstein,code01,11.6
2008,Percentage,,Female,Schleswig-Holstein,code01,13.5
2009,Percentage,,Female,Schleswig-Holstein,code01,13.1
2010,Percentage,,Female,Schleswig-Holstein,code01,12.8
2011,Percentage,,Female,Schleswig-Holstein,code01,12.0
2012,Percentage,,Female,Schleswig-Holstein,code01,11.6
2013,Percentage,,Female,Schleswig-Holstein,code01,10.3
2014,Percentage,,Female,Schleswig-Holstein,code01,12.5
2015,Percentage,,Female,Schleswig-Holstein,code01,8.9
2016,Percentage,,Female,Schleswig-Holstein,code01,10.6
2017,Percentage,,Female,Schleswig-Holstein,code01,7.6
2018,Percentage,,Female,Schleswig-Holstein,code01,8.9
2019,Percentage,,Female,Schleswig-Holstein,code01,8.7
2020,Percentage,.,Female,Schleswig-Holstein,code01,
2021,Percentage,.,Female,Schleswig-Holstein,code01,
2022,Percentage,,Female,Schleswig-Holstein,code01,13.9
2023,Percentage,p,Female,Schleswig-Holstein,code01,14.8
2030,Percentage,…,Female,Schleswig-Holstein,code01,
1999,Percentage,,Male,Schleswig-Holstein,code01,
2000,Percentage,.,Male,Schleswig-Holstein,code01,
2001,Percentage,.,Male,Schleswig-Holstein,code01,
2002,Percentage,.,Male,Schleswig-Holstein,code01,
2003,Percentage,.,Male,Schleswig-Holstein,code01,
2004,Percentage,.,Male,Schleswig-Holstein,code01,
2005,Percentage,,Male,Schleswig-Holstein,code01,16.1
2006,Percentage,,Male,Schleswig-Holstein,code01,18.2
2007,Percentage,,Male,Schleswig-Holstein,code01,11.9
2008,Percentage,,Male,Schleswig-Holstein,code01,13.8
2009,Percentage,,Male,Schleswig-Holstein,code01,11.2
2010,Percentage,,Male,Schleswig-Holstein,code01,12.5
2011,Percentage,,Male,Schleswig-Holstein,code01,13.6
2012,Percentage,,Male,Schleswig-Holstein,code01,12.9
2013,Percentage,,Male,Schleswig-Holstein,code01,10.4
2014,Percentage,,Male,Schleswig-Holstein,code01,13.1
2015,Percentage,,Male,Schleswig-Holstein,code01,12.1
2016,Percentage,,Male,Schleswig-Holstein,code01,10.8
2017,Percentage,,Male,Schleswig-Holstein,code01,10.4
2018,Percentage,,Male,Schleswig-Holstein,code01,11.2
2019,Percentage,,Male,Schleswig-Holstein,code01,13.2
2020,Percentage,.,Male,Schleswig-Holstein,code01,
2021,Percentage,.,Male,Schleswig-Holstein,code01,
2022,Percentage,,Male,Schleswig-Holstein,code01,16.4
2023,Percentage,p,Male,Schleswig-Holstein,code01,18.9
2030,Percentage,…,Male,Schleswig-Holstein,code01,
1999,Percentage,,,Thuringia,code16,
2000,Percentage,.,,Thuringia,code16,
2001,Percentage,.,,Thuringia,code16,
2002,Percentage,.,,Thuringia,code16,
2003,Percentage,.,,Thuringia,code16,
2004,Percentage,.,,Thuringia,code16,
2005,Percentage,,,Thuringia,code16,6.6
2006,Percentage,,,Thuringia,code16,8.8
2007,Percentage,,,Thuringia,code16,10.2
2008,Percentage,,,Thuringia,code16,7.4
2009,Percentage,,,Thuringia,code16,5.4
2010,Percentage,,,Thuringia,code16,6.3
2011,Percentage,,,Thuringia,code16,7.7
2012,Percentage,,,Thuringia,code16,7.0
2013,Percentage,,,Thuringia,code16,7.7
2014,Percentage,,,Thuringia,code16,6.1
2015,Percentage,,,Thuringia,code16,8.3
2016,Percentage,,,Thuringia,code16,8.8
2017,Percentage,,,Thuringia,code16,8.7
2018,Percentage,,,Thuringia,code16,8.5
2019,Percentage,,,Thuringia,code16,9.6
2020,Percentage,.,,Thuringia,code16,
2021,Percentage,,,Thuringia,code16,10.8
2022,Percentage,,,Thuringia,code16,10.9
2023,Percentage,p,,Thuringia,code16,13.1
2030,Percentage,…,,Thuringia,code16,
1999,Percentage,,Female,Thuringia,code16,
2000,Percentage,.,Female,Thuringia,code16,
2001,Percentage,.,Female,Thuringia,code16,
2002,Percentage,.,Female,Thuringia,code16,
2003,Percentage,.,Female,Thuringia,code16,
2004,Percentage,.,Female,Thuringia,code16,
2005,Percentage,,Female,Thuringia,code16,7.2
2006,Percentage,,Female,Thuringia,code16,8.6
2007,Percentage,,Female,Thuringia,code16,11.6
2008,Percentage,,Female,Thuringia,code16,7.1
2009,Percentage,,Female,Thuringia,code16,6.0
2010,Percentage,,Female,Thuringia,code16,6.4
2011,Percentage,.,Female,Thuringia,code16,6.7
2012,Percentage,.,Female,Thuringia,code16,
2013,Percentage,.,Female,Thuringia,code16,
2014,Percentage,.,Female,Thuringia,code16,
2015,Percentage,.,Female,Thuringia,code16,
2016,Percentage,.,Female,Thuringia,code16,
2017,Percentage,.,Female,Thuringia,code16,
2018,Percentage,.,Female,Thuringia,code16,
2019,Percentage,.,Female,Thuringia,code16,
2020,Percentage,.,Female,Thuringia,code16,
2021,Percentage,.,Female,Thuringia,code16,
2022,Percentage,.,Female,Thuringia,code16,
2023,Percentage,.,Female,Thuringia,code16,
2030,Percentage,…,Female,Thuringia,code16,
1999,Percentage,,Male,Thuringia,code16,
2000,Percentage,.,Male,Thuringia,code16,
2001,Percentage,.,Male,Thuringia,code16,
2002,Percentage,.,Male,Thuringia,code16,
2003,Percentage,.,Male,Thuringia,code16,
2004,Percentage,.,Male,Thuringia,code16,
2005,Percentage,,Male,Thuringia,code16,6.1
2006,Percentage,,Male,Thuringia,code16,9.0
2007,Percentage,,Male,Thuringia,code16,8.8
2008,Percentage,,Male,Thuringia,code16,7.7
2009,Percentage,,Male,Thuringia,code16,4.8
2010,Percentage,,Male,Thuringia,code16,6.2
2011,Percentage,,Male,Thuringia,code16,8.5
2012,Percentage,,Male,Thuringia,code16,8.0
2013,Percentage,,Male,Thuringia,code16,8.3
2014,Percentage,.,Male,Thuringia,code16,
2015,Percentage,,Male,Thuringia,code16,9.1
2016,Percentage,,Male,Thuringia,code16,10.0
2017,Percentage,,Male,Thuringia,code16,10.6
2018,Percentage,,Male,Thuringia,code16,10.1
2019,Percentage,,Male,Thuringia,code16,10.5
2020,Percentage,.,Male,Thuringia,code16,
2021,Percentage,.,Male,Thuringia,code16,
2022,Percentage,.,Male,Thuringia,code16,
2023,Percentage,.,Male,Thuringia,code16,
2030,Percentage,…,Male,Thuringia,code16,
