Year,Units,title,sex,Bundesland,GeoCode,Value
2005,percentage (%),foreign school graduates,a) total,sn,code14,80.7
2006,percentage (%),foreign school graduates,a) total,sn,code14,81.2
2007,percentage (%),foreign school graduates,a) total,sn,code14,79.4
2008,percentage (%),foreign school graduates,a) total,sn,code14,83.8
2009,percentage (%),foreign school graduates,a) total,sn,code14,88.1
2010,percentage (%),foreign school graduates,a) total,sn,code14,84.8
2011,percentage (%),foreign school graduates,a) total,sn,code14,88.3
2012,percentage (%),foreign school graduates,a) total,sn,code14,89.4
2013,percentage (%),foreign school graduates,a) total,sn,code14,84.8
2014,percentage (%),foreign school graduates,a) total,sn,code14,84.6
2015,percentage (%),foreign school graduates,a) total,sn,code14,85.2
2016,percentage (%),foreign school graduates,a) total,sn,code14,84.6
2017,percentage (%),foreign school graduates,a) total,sn,code14,81.8
2018,percentage (%),foreign school graduates,a) total,sn,code14,77.3
2019,percentage (%),foreign school graduates,a) total,sn,code14,79.1
1996,percentage (%),foreign school graduates,female,sn,code14,75.5
1997,percentage (%),foreign school graduates,female,sn,code14,72.5
1998,percentage (%),foreign school graduates,female,sn,code14,73.9
1999,percentage (%),foreign school graduates,female,sn,code14,74.2
2000,percentage (%),foreign school graduates,female,sn,code14,87.7
2001,percentage (%),foreign school graduates,female,sn,code14,85.0
2002,percentage (%),foreign school graduates,female,sn,code14,72.6
2003,percentage (%),foreign school graduates,female,sn,code14,84.9
2004,percentage (%),foreign school graduates,female,sn,code14,86.8
2005,percentage (%),foreign school graduates,female,sn,code14,84.7
2006,percentage (%),foreign school graduates,female,sn,code14,89.3
2007,percentage (%),foreign school graduates,female,sn,code14,85.7
2008,percentage (%),foreign school graduates,female,sn,code14,90.4
2009,percentage (%),foreign school graduates,female,sn,code14,91.3
2010,percentage (%),foreign school graduates,female,sn,code14,89.8
2011,percentage (%),foreign school graduates,female,sn,code14,90.6
2012,percentage (%),foreign school graduates,female,sn,code14,91.8
2013,percentage (%),foreign school graduates,female,sn,code14,87.9
2014,percentage (%),foreign school graduates,female,sn,code14,87.3
2015,percentage (%),foreign school graduates,female,sn,code14,88.4
2016,percentage (%),foreign school graduates,female,sn,code14,87.6
2017,percentage (%),foreign school graduates,female,sn,code14,86.3
2018,percentage (%),foreign school graduates,female,sn,code14,83.9
2019,percentage (%),foreign school graduates,female,sn,code14,82.7
1996,percentage (%),foreign school graduates,male,sn,code14,55.7
1997,percentage (%),foreign school graduates,male,sn,code14,64.4
1998,percentage (%),foreign school graduates,male,sn,code14,64.7
1999,percentage (%),foreign school graduates,male,sn,code14,72.5
2000,percentage (%),foreign school graduates,male,sn,code14,73.0
2001,percentage (%),foreign school graduates,male,sn,code14,66.8
2002,percentage (%),foreign school graduates,male,sn,code14,63.6
2003,percentage (%),foreign school graduates,male,sn,code14,71.5
2004,percentage (%),foreign school graduates,male,sn,code14,73.3
2005,percentage (%),foreign school graduates,male,sn,code14,76.9
2006,percentage (%),foreign school graduates,male,sn,code14,74.3
2007,percentage (%),foreign school graduates,male,sn,code14,73.2
2008,percentage (%),foreign school graduates,male,sn,code14,77.0
2009,percentage (%),foreign school graduates,male,sn,code14,84.7
2010,percentage (%),foreign school graduates,male,sn,code14,80.0
2011,percentage (%),foreign school graduates,male,sn,code14,86.2
2012,percentage (%),foreign school graduates,male,sn,code14,87.2
2013,percentage (%),foreign school graduates,male,sn,code14,82.0
2014,percentage (%),foreign school graduates,male,sn,code14,82.2
2015,percentage (%),foreign school graduates,male,sn,code14,82.4
2016,percentage (%),foreign school graduates,male,sn,code14,82.0
2017,percentage (%),foreign school graduates,male,sn,code14,78.1
2018,percentage (%),foreign school graduates,male,sn,code14,72.5
2019,percentage (%),foreign school graduates,male,sn,code14,76.4
1996,percentage (%),foreign school graduates,a) total,st,code15,70.5
1997,percentage (%),foreign school graduates,a) total,st,code15,60.7
1998,percentage (%),foreign school graduates,a) total,st,code15,63.9
1999,percentage (%),foreign school graduates,a) total,st,code15,72.0
2000,percentage (%),foreign school graduates,a) total,st,code15,70.9
2001,percentage (%),foreign school graduates,a) total,st,code15,72.1
2002,percentage (%),foreign school graduates,a) total,st,code15,64.6
2003,percentage (%),foreign school graduates,a) total,st,code15,64.4
2004,percentage (%),foreign school graduates,a) total,st,code15,64.4
2005,percentage (%),foreign school graduates,a) total,st,code15,71.0
2006,percentage (%),foreign school graduates,a) total,st,code15,75.9
2007,percentage (%),foreign school graduates,a) total,st,code15,78.5
2008,percentage (%),foreign school graduates,a) total,st,code15,82.7
2009,percentage (%),foreign school graduates,a) total,st,code15,82.2
2010,percentage (%),foreign school graduates,a) total,st,code15,81.2
2011,percentage (%),foreign school graduates,a) total,st,code15,81.0
2012,percentage (%),foreign school graduates,a) total,st,code15,83.5
2013,percentage (%),foreign school graduates,a) total,st,code15,87.1
2014,percentage (%),foreign school graduates,a) total,st,code15,81.0
2015,percentage (%),foreign school graduates,a) total,st,code15,75.1
2016,percentage (%),foreign school graduates,a) total,st,code15,66.0
2017,percentage (%),foreign school graduates,a) total,st,code15,60.0
2018,percentage (%),foreign school graduates,a) total,st,code15,61.8
2019,percentage (%),foreign school graduates,a) total,st,code15,70.6
1996,percentage (%),foreign school graduates,female,st,code15,81.8
1997,percentage (%),foreign school graduates,female,st,code15,67.9
1998,percentage (%),foreign school graduates,female,st,code15,74.6
1999,percentage (%),foreign school graduates,female,st,code15,80.3
2000,percentage (%),foreign school graduates,female,st,code15,86.2
2001,percentage (%),foreign school graduates,female,st,code15,87.9
2002,percentage (%),foreign school graduates,female,st,code15,85.5
2003,percentage (%),foreign school graduates,female,st,code15,78.5
2004,percentage (%),foreign school graduates,female,st,code15,74.4
2005,percentage (%),foreign school graduates,female,st,code15,73.6
2006,percentage (%),foreign school graduates,female,st,code15,86.4
2007,percentage (%),foreign school graduates,female,st,code15,88.3
2008,percentage (%),foreign school graduates,female,st,code15,82.9
2009,percentage (%),foreign school graduates,female,st,code15,87.4
2010,percentage (%),foreign school graduates,female,st,code15,79.3
2011,percentage (%),foreign school graduates,female,st,code15,81.3
2012,percentage (%),foreign school graduates,female,st,code15,87.1
2013,percentage (%),foreign school graduates,female,st,code15,91.5
2014,percentage (%),foreign school graduates,female,st,code15,85.0
2015,percentage (%),foreign school graduates,female,st,code15,79.3
2016,percentage (%),foreign school graduates,female,st,code15,73.9
2017,percentage (%),foreign school graduates,female,st,code15,69.4
2018,percentage (%),foreign school graduates,female,st,code15,66.2
2019,percentage (%),foreign school graduates,female,st,code15,76.4
1996,percentage (%),foreign school graduates,male,st,code15,64.1
1997,percentage (%),foreign school graduates,male,st,code15,55.1
1998,percentage (%),foreign school graduates,male,st,code15,56.0
1999,percentage (%),foreign school graduates,male,st,code15,64.1
2000,percentage (%),foreign school graduates,male,st,code15,59.0
2001,percentage (%),foreign school graduates,male,st,code15,61.8
2002,percentage (%),foreign school graduates,male,st,code15,49.3
2003,percentage (%),foreign school graduates,male,st,code15,53.1
2004,percentage (%),foreign school graduates,male,st,code15,56.8
2005,percentage (%),foreign school graduates,male,st,code15,67.8
2006,percentage (%),foreign school graduates,male,st,code15,65.1
2007,percentage (%),foreign school graduates,male,st,code15,71.9
2008,percentage (%),foreign school graduates,male,st,code15,82.5
2009,percentage (%),foreign school graduates,male,st,code15,78.9
2010,percentage (%),foreign school graduates,male,st,code15,83.5
2011,percentage (%),foreign school graduates,male,st,code15,80.7
2012,percentage (%),foreign school graduates,male,st,code15,79.2
2013,percentage (%),foreign school graduates,male,st,code15,83.5
2014,percentage (%),foreign school graduates,male,st,code15,77.6
2015,percentage (%),foreign school graduates,male,st,code15,71.6
2016,percentage (%),foreign school graduates,male,st,code15,60.9
2017,percentage (%),foreign school graduates,male,st,code15,54.5
2018,percentage (%),foreign school graduates,male,st,code15,58.7
2019,percentage (%),foreign school graduates,male,st,code15,67.3
1996,percentage (%),foreign school graduates,a) total,sh,code01,77.3
1997,percentage (%),foreign school graduates,a) total,sh,code01,74.5
1998,percentage (%),foreign school graduates,a) total,sh,code01,75.8
1999,percentage (%),foreign school graduates,a) total,sh,code01,78.0
2000,percentage (%),foreign school graduates,a) total,sh,code01,78.5
2001,percentage (%),foreign school graduates,a) total,sh,code01,78.5
2002,percentage (%),foreign school graduates,a) total,sh,code01,81.6
2003,percentage (%),foreign school graduates,a) total,sh,code01,83.7
2004,percentage (%),foreign school graduates,a) total,sh,code01,81.1
2005,percentage (%),foreign school graduates,a) total,sh,code01,82.1
2006,percentage (%),foreign school graduates,a) total,sh,code01,81.4
2007,percentage (%),foreign school graduates,a) total,sh,code01,83.9
2008,percentage (%),foreign school graduates,a) total,sh,code01,84.7
2009,percentage (%),foreign school graduates,a) total,sh,code01,87.3
2010,percentage (%),foreign school graduates,a) total,sh,code01,87.6
2011,percentage (%),foreign school graduates,a) total,sh,code01,88.2
2012,percentage (%),foreign school graduates,a) total,sh,code01,88.6
2013,percentage (%),foreign school graduates,a) total,sh,code01,86.1
2014,percentage (%),foreign school graduates,a) total,sh,code01,87.1
2015,percentage (%),foreign school graduates,a) total,sh,code01,87.0
2016,percentage (%),foreign school graduates,a) total,sh,code01,82.8
2017,percentage (%),foreign school graduates,a) total,sh,code01,80.2
2018,percentage (%),foreign school graduates,a) total,sh,code01,77.7
2019,percentage (%),foreign school graduates,a) total,sh,code01,74.3
1996,percentage (%),foreign school graduates,female,sh,code01,80.4
1997,percentage (%),foreign school graduates,female,sh,code01,82.3
1998,percentage (%),foreign school graduates,female,sh,code01,79.6
1999,percentage (%),foreign school graduates,female,sh,code01,82.9
2000,percentage (%),foreign school graduates,female,sh,code01,83.4
2001,percentage (%),foreign school graduates,female,sh,code01,83.0
2002,percentage (%),foreign school graduates,female,sh,code01,84.6
2003,percentage (%),foreign school graduates,female,sh,code01,88.5
2004,percentage (%),foreign school graduates,female,sh,code01,86.5
2005,percentage (%),foreign school graduates,female,sh,code01,85.0
2006,percentage (%),foreign school graduates,female,sh,code01,86.1
2007,percentage (%),foreign school graduates,female,sh,code01,85.9
2008,percentage (%),foreign school graduates,female,sh,code01,87.8
2009,percentage (%),foreign school graduates,female,sh,code01,89.1
2010,percentage (%),foreign school graduates,female,sh,code01,91.0
2011,percentage (%),foreign school graduates,female,sh,code01,92.2
2012,percentage (%),foreign school graduates,female,sh,code01,92.1
2013,percentage (%),foreign school graduates,female,sh,code01,87.4
2014,percentage (%),foreign school graduates,female,sh,code01,89.3
2015,percentage (%),foreign school graduates,female,sh,code01,90.5
2016,percentage (%),foreign school graduates,female,sh,code01,87.3
2017,percentage (%),foreign school graduates,female,sh,code01,86.3
2018,percentage (%),foreign school graduates,female,sh,code01,82.4
2019,percentage (%),foreign school graduates,female,sh,code01,79.7
1996,percentage (%),foreign school graduates,male,sh,code01,74.5
1997,percentage (%),foreign school graduates,male,sh,code01,67.9
1998,percentage (%),foreign school graduates,male,sh,code01,72.3
1999,percentage (%),foreign school graduates,male,sh,code01,73.2
2000,percentage (%),foreign school graduates,male,sh,code01,74.1
2001,percentage (%),foreign school graduates,male,sh,code01,74.5
2002,percentage (%),foreign school graduates,male,sh,code01,78.7
2003,percentage (%),foreign school graduates,male,sh,code01,78.8
2004,percentage (%),foreign school graduates,male,sh,code01,76.1
2005,percentage (%),foreign school graduates,male,sh,code01,79.2
2006,percentage (%),foreign school graduates,male,sh,code01,77.0
2007,percentage (%),foreign school graduates,male,sh,code01,82.0
2008,percentage (%),foreign school graduates,male,sh,code01,81.8
2009,percentage (%),foreign school graduates,male,sh,code01,85.6
2010,percentage (%),foreign school graduates,male,sh,code01,84.3
2011,percentage (%),foreign school graduates,male,sh,code01,84.4
2012,percentage (%),foreign school graduates,male,sh,code01,85.2
2013,percentage (%),foreign school graduates,male,sh,code01,84.9
2014,percentage (%),foreign school graduates,male,sh,code01,84.9
2015,percentage (%),foreign school graduates,male,sh,code01,83.6
2016,percentage (%),foreign school graduates,male,sh,code01,78.9
2017,percentage (%),foreign school graduates,male,sh,code01,75.4
2018,percentage (%),foreign school graduates,male,sh,code01,73.9
2019,percentage (%),foreign school graduates,male,sh,code01,69.8
1996,percentage (%),foreign school graduates,a) total,th,code16,62.1
1997,percentage (%),foreign school graduates,a) total,th,code16,60.5
1998,percentage (%),foreign school graduates,a) total,th,code16,61.5
1999,percentage (%),foreign school graduates,a) total,th,code16,55.9
2000,percentage (%),foreign school graduates,a) total,th,code16,61.5
2001,percentage (%),foreign school graduates,a) total,th,code16,61.6
2002,percentage (%),foreign school graduates,a) total,th,code16,74.4
2003,percentage (%),foreign school graduates,a) total,th,code16,82.6
2004,percentage (%),foreign school graduates,a) total,th,code16,84.5
2005,percentage (%),foreign school graduates,a) total,th,code16,82.4
2006,percentage (%),foreign school graduates,a) total,th,code16,81.6
2007,percentage (%),foreign school graduates,a) total,th,code16,85.6
2008,percentage (%),foreign school graduates,a) total,th,code16,84.6
2009,percentage (%),foreign school graduates,a) total,th,code16,89.6
2010,percentage (%),foreign school graduates,a) total,th,code16,90.0
2011,percentage (%),foreign school graduates,a) total,th,code16,89.4
2012,percentage (%),foreign school graduates,a) total,th,code16,90.8
2013,percentage (%),foreign school graduates,a) total,th,code16,84.9
2014,percentage (%),foreign school graduates,a) total,th,code16,86.7
2015,percentage (%),foreign school graduates,a) total,th,code16,81.8
2016,percentage (%),foreign school graduates,a) total,th,code16,77.3
2017,percentage (%),foreign school graduates,a) total,th,code16,53.2
2018,percentage (%),foreign school graduates,a) total,th,code16,61.8
2019,percentage (%),foreign school graduates,a) total,th,code16,67.1
1996,percentage (%),foreign school graduates,female,th,code16,56.5
1997,percentage (%),foreign school graduates,female,th,code16,58.3
1998,percentage (%),foreign school graduates,female,th,code16,74.4
1999,percentage (%),foreign school graduates,female,th,code16,62.8
2000,percentage (%),foreign school graduates,female,th,code16,69.4
2001,percentage (%),foreign school graduates,female,th,code16,63.1
2002,percentage (%),foreign school graduates,female,th,code16,79.0
2003,percentage (%),foreign school graduates,female,th,code16,81.2
2004,percentage (%),foreign school graduates,female,th,code16,86.1
2005,percentage (%),foreign school graduates,female,th,code16,87.8
2006,percentage (%),foreign school graduates,female,th,code16,85.7
2007,percentage (%),foreign school graduates,female,th,code16,89.7
2008,percentage (%),foreign school graduates,female,th,code16,91.5
2009,percentage (%),foreign school graduates,female,th,code16,93.7
2010,percentage (%),foreign school graduates,female,th,code16,92.9
2011,percentage (%),foreign school graduates,female,th,code16,93.3
2012,percentage (%),foreign school graduates,female,th,code16,91.6
2013,percentage (%),foreign school graduates,female,th,code16,87.9
2014,percentage (%),foreign school graduates,female,th,code16,89.5
2015,percentage (%),foreign school graduates,female,th,code16,83.7
2016,percentage (%),foreign school graduates,female,th,code16,85.4
2017,percentage (%),foreign school graduates,female,th,code16,67.4
2018,percentage (%),foreign school graduates,female,th,code16,67.9
2019,percentage (%),foreign school graduates,female,th,code16,76.4
1996,percentage (%),foreign school graduates,male,th,code16,65.1
1997,percentage (%),foreign school graduates,male,th,code16,62.5
1998,percentage (%),foreign school graduates,male,th,code16,52.6
1999,percentage (%),foreign school graduates,male,th,code16,50.8
2000,percentage (%),foreign school graduates,male,th,code16,56.4
2001,percentage (%),foreign school graduates,male,th,code16,60.0
2002,percentage (%),foreign school graduates,male,th,code16,69.5
2003,percentage (%),foreign school graduates,male,th,code16,83.7
2004,percentage (%),foreign school graduates,male,th,code16,82.9
2005,percentage (%),foreign school graduates,male,th,code16,78.0
2006,percentage (%),foreign school graduates,male,th,code16,78.7
2007,percentage (%),foreign school graduates,male,th,code16,81.7
2008,percentage (%),foreign school graduates,male,th,code16,78.8
2009,percentage (%),foreign school graduates,male,th,code16,85.5
2010,percentage (%),foreign school graduates,male,th,code16,87.2
2011,percentage (%),foreign school graduates,male,th,code16,85.5
2012,percentage (%),foreign school graduates,male,th,code16,90.0
2013,percentage (%),foreign school graduates,male,th,code16,81.5
2014,percentage (%),foreign school graduates,male,th,code16,83.1
2015,percentage (%),foreign school graduates,male,th,code16,79.9
2016,percentage (%),foreign school graduates,male,th,code16,70.7
2017,percentage (%),foreign school graduates,male,th,code16,44.9
2018,percentage (%),foreign school graduates,male,th,code16,58.8
2019,percentage (%),foreign school graduates,male,th,code16,60.9
1996,percentage (%),german school graduates (share of all german leavers),,bw,,93.7
1997,percentage (%),german school graduates (share of all german leavers),,bw,,94.0
1998,percentage (%),german school graduates (share of all german leavers),,bw,,94.0
1999,percentage (%),german school graduates (share of all german leavers),,bw,,93.9
2000,percentage (%),german school graduates (share of all german leavers),,bw,,93.7
2001,percentage (%),german school graduates (share of all german leavers),,bw,,93.7
2002,percentage (%),german school graduates (share of all german leavers),,bw,,93.8
2003,percentage (%),german school graduates (share of all german leavers),,bw,,94.3
2004,percentage (%),german school graduates (share of all german leavers),,bw,,94.3
2005,percentage (%),german school graduates (share of all german leavers),,bw,,94.7
2006,percentage (%),german school graduates (share of all german leavers),,bw,,95.1
2007,percentage (%),german school graduates (share of all german leavers),,bw,,95.5
2008,percentage (%),german school graduates (share of all german leavers),,bw,,95.7
2009,percentage (%),german school graduates (share of all german leavers),,bw,,95.6
2010,percentage (%),german school graduates (share of all german leavers),,bw,,95.8
2011,percentage (%),german school graduates (share of all german leavers),,bw,,96.0
2012,percentage (%),german school graduates (share of all german leavers),,bw,,96.6
2013,percentage (%),german school graduates (share of all german leavers),,bw,,96.2
2014,percentage (%),german school graduates (share of all german leavers),,bw,,95.9
2015,percentage (%),german school graduates (share of all german leavers),,bw,,95.9
2016,percentage (%),german school graduates (share of all german leavers),,bw,,95.7
2017,percentage (%),german school graduates (share of all german leavers),,bw,,94.8
2018,percentage (%),german school graduates (share of all german leavers),,bw,,94.9
2019,percentage (%),german school graduates (share of all german leavers),,bw,,95.2
1996,percentage (%),german school graduates (share of all german leavers),,by,,93.1
1997,percentage (%),german school graduates (share of all german leavers),,by,,92.7
1998,percentage (%),german school graduates (share of all german leavers),,by,,92.3
1999,percentage (%),german school graduates (share of all german leavers),,by,,92.6
2000,percentage (%),german school graduates (share of all german leavers),,by,,92.1
2001,percentage (%),german school graduates (share of all german leavers),,by,,91.4
2002,percentage (%),german school graduates (share of all german leavers),,by,,91.8
2003,percentage (%),german school graduates (share of all german leavers),,by,,92.5
2004,percentage (%),german school graduates (share of all german leavers),,by,,92.6
2005,percentage (%),german school graduates (share of all german leavers),,by,,93.2
2006,percentage (%),german school graduates (share of all german leavers),,by,,93.6
2007,percentage (%),german school graduates (share of all german leavers),,by,,94.0
2008,percentage (%),german school graduates (share of all german leavers),,by,,94.6
2009,percentage (%),german school graduates (share of all german leavers),,by,,94.9
2010,percentage (%),german school graduates (share of all german leavers),,by,,95.2
2011,percentage (%),german school graduates (share of all german leavers),,by,,96.4
2012,percentage (%),german school graduates (share of all german leavers),,by,,96.0
2013,percentage (%),german school graduates (share of all german leavers),,by,,96.2
2014,percentage (%),german school graduates (share of all german leavers),,by,,96.4
2015,percentage (%),german school graduates (share of all german leavers),,by,,96.3
2016,percentage (%),german school graduates (share of all german leavers),,by,,96.4
2017,percentage (%),german school graduates (share of all german leavers),,by,,96.1
2018,percentage (%),german school graduates (share of all german leavers),,by,,95.9
2019,percentage (%),german school graduates (share of all german leavers),,by,,96.0
1996,percentage (%),german school graduates (share of all german leavers),,be,,90.8
1997,percentage (%),german school graduates (share of all german leavers),,be,,90.3
1998,percentage (%),german school graduates (share of all german leavers),,be,,89.5
1999,percentage (%),german school graduates (share of all german leavers),,be,,89.5
2000,percentage (%),german school graduates (share of all german leavers),,be,,89.6
2001,percentage (%),german school graduates (share of all german leavers),,be,,91.1
2002,percentage (%),german school graduates (share of all german leavers),,be,,91.1
2003,percentage (%),german school graduates (share of all german leavers),,be,,91.2
2004,percentage (%),german school graduates (share of all german leavers),,be,,91.6
2005,percentage (%),german school graduates (share of all german leavers),,be,,92.6
2006,percentage (%),german school graduates (share of all german leavers),,be,,92.6
2007,percentage (%),german school graduates (share of all german leavers),,be,,92.4
2008,percentage (%),german school graduates (share of all german leavers),,be,,92.6
2009,percentage (%),german school graduates (share of all german leavers),,be,,92.6
2010,percentage (%),german school graduates (share of all german leavers),,be,,92.5
2011,percentage (%),german school graduates (share of all german leavers),,be,,92.7
2012,percentage (%),german school graduates (share of all german leavers),,be,,94.3
2013,percentage (%),german school graduates (share of all german leavers),,be,,93.9
2014,percentage (%),german school graduates (share of all german leavers),,be,,93.1
2015,percentage (%),german school graduates (share of all german leavers),,be,,92.0
2016,percentage (%),german school graduates (share of all german leavers),,be,,93.4
2017,percentage (%),german school graduates (share of all german leavers),,be,,92.5
2018,percentage (%),german school graduates (share of all german leavers),,be,,92.1
2019,percentage (%),german school graduates (share of all german leavers),,be,,92.9
1996,percentage (%),german school graduates (share of all german leavers),,bb,,90.5
1997,percentage (%),german school graduates (share of all german leavers),,bb,,91.5
1998,percentage (%),german school graduates (share of all german leavers),,bb,,91.2
1999,percentage (%),german school graduates (share of all german leavers),,bb,,91.4
2000,percentage (%),german school graduates (share of all german leavers),,bb,,91.1
2001,percentage (%),german school graduates (share of all german leavers),,bb,,91.1
2002,percentage (%),german school graduates (share of all german leavers),,bb,,91.1
2003,percentage (%),german school graduates (share of all german leavers),,bb,,91.6
2004,percentage (%),german school graduates (share of all german leavers),,bb,,91.1
2005,percentage (%),german school graduates (share of all german leavers),,bb,,90.4
2006,percentage (%),german school graduates (share of all german leavers),,bb,,89.9
2007,percentage (%),german school graduates (share of all german leavers),,bb,,90.2
2008,percentage (%),german school graduates (share of all german leavers),,bb,,90.4
2009,percentage (%),german school graduates (share of all german leavers),,bb,,91.7
2010,percentage (%),german school graduates (share of all german leavers),,bb,,91.8
2011,percentage (%),german school graduates (share of all german leavers),,bb,,91.4
2012,percentage (%),german school graduates (share of all german leavers),,bb,,92.9
2013,percentage (%),german school graduates (share of all german leavers),,bb,,92.0
2014,percentage (%),german school graduates (share of all german leavers),,bb,,91.9
2015,percentage (%),german school graduates (share of all german leavers),,bb,,92.5
2016,percentage (%),german school graduates (share of all german leavers),,bb,,92.9
2017,percentage (%),german school graduates (share of all german leavers),,bb,,92.9
2018,percentage (%),german school graduates (share of all german leavers),,bb,,92.9
2019,percentage (%),german school graduates (share of all german leavers),,bb,,93.0
1996,percentage (%),german school graduates (share of all german leavers),,hb,,91.8
1997,percentage (%),german school graduates (share of all german leavers),,hb,,92.7
1998,percentage (%),german school graduates (share of all german leavers),,hb,,90.6
1999,percentage (%),german school graduates (share of all german leavers),,hb,,92.5
2000,percentage (%),german school graduates (share of all german leavers),,hb,,92.6
2001,percentage (%),german school graduates (share of all german leavers),,hb,,91.8
2002,percentage (%),german school graduates (share of all german leavers),,hb,,92.4
2003,percentage (%),german school graduates (share of all german leavers),,hb,,92.4
2004,percentage (%),german school graduates (share of all german leavers),,hb,,91.3
2005,percentage (%),german school graduates (share of all german leavers),,hb,,92.4
2006,percentage (%),german school graduates (share of all german leavers),,hb,,93.9
2007,percentage (%),german school graduates (share of all german leavers),,hb,,93.7
2008,percentage (%),german school graduates (share of all german leavers),,hb,,94.2
2009,percentage (%),german school graduates (share of all german leavers),,hb,,95.0
2010,percentage (%),german school graduates (share of all german leavers),,hb,,96.0
2011,percentage (%),german school graduates (share of all german leavers),,hb,,95.1
2012,percentage (%),german school graduates (share of all german leavers),,hb,,95.9
2013,percentage (%),german school graduates (share of all german leavers),,hb,,95.2
2014,percentage (%),german school graduates (share of all german leavers),,hb,,94.8
2015,percentage (%),german school graduates (share of all german leavers),,hb,,94.9
2016,percentage (%),german school graduates (share of all german leavers),,hb,,95.1
2017,percentage (%),german school graduates (share of all german leavers),,hb,,94.0
2018,percentage (%),german school graduates (share of all german leavers),,hb,,94.5
2019,percentage (%),german school graduates (share of all german leavers),,hb,,93.8
1996,percentage (%),german school graduates (share of all german leavers),,hh,,90.7
1997,percentage (%),german school graduates (share of all german leavers),,hh,,90.1
1998,percentage (%),german school graduates (share of all german leavers),,hh,,90.6
1999,percentage (%),german school graduates (share of all german leavers),,hh,,90.5
2000,percentage (%),german school graduates (share of all german leavers),,hh,,89.4
2001,percentage (%),german school graduates (share of all german leavers),,hh,,89.1
2002,percentage (%),german school graduates (share of all german leavers),,hh,,89.7
2003,percentage (%),german school graduates (share of all german leavers),,hh,,90.0
2004,percentage (%),german school graduates (share of all german leavers),,hh,,90.6
2005,percentage (%),german school graduates (share of all german leavers),,hh,,90.4
2006,percentage (%),german school graduates (share of all german leavers),,hh,,90.6
2007,percentage (%),german school graduates (share of all german leavers),,hh,,91.5
2008,percentage (%),german school graduates (share of all german leavers),,hh,,93.4
2009,percentage (%),german school graduates (share of all german leavers),,hh,,93.6
2010,percentage (%),german school graduates (share of all german leavers),,hh,,95.2
2011,percentage (%),german school graduates (share of all german leavers),,hh,,94.0
2012,percentage (%),german school graduates (share of all german leavers),,hh,,94.1
2013,percentage (%),german school graduates (share of all german leavers),,hh,,95.8
2014,percentage (%),german school graduates (share of all german leavers),,hh,,96.0
2015,percentage (%),german school graduates (share of all german leavers),,hh,,95.4
2016,percentage (%),german school graduates (share of all german leavers),,hh,,95.3
2017,percentage (%),german school graduates (share of all german leavers),,hh,,95.8
2018,percentage (%),german school graduates (share of all german leavers),,hh,,95.0
2019,percentage (%),german school graduates (share of all german leavers),,hh,,95.1
1996,percentage (%),german school graduates (share of all german leavers),,he,,93.1
1997,percentage (%),german school graduates (share of all german leavers),,he,,93.2
1998,percentage (%),german school graduates (share of all german leavers),,he,,93.3
1999,percentage (%),german school graduates (share of all german leavers),,he,,92.6
2000,percentage (%),german school graduates (share of all german leavers),,he,,91.8
2001,percentage (%),german school graduates (share of all german leavers),,he,,92.1
2002,percentage (%),german school graduates (share of all german leavers),,he,,92.9
2003,percentage (%),german school graduates (share of all german leavers),,he,,92.4
2004,percentage (%),german school graduates (share of all german leavers),,he,,93.0
2005,percentage (%),german school graduates (share of all german leavers),,he,,93.4
2006,percentage (%),german school graduates (share of all german leavers),,he,,93.5
2007,percentage (%),german school graduates (share of all german leavers),,he,,93.5
2008,percentage (%),german school graduates (share of all german leavers),,he,,94.5
2009,percentage (%),german school graduates (share of all german leavers),,he,,94.8
2010,percentage (%),german school graduates (share of all german leavers),,he,,95.4
2011,percentage (%),german school graduates (share of all german leavers),,he,,95.9
2012,percentage (%),german school graduates (share of all german leavers),,he,,95.8
2013,percentage (%),german school graduates (share of all german leavers),,he,,96.7
2014,percentage (%),german school graduates (share of all german leavers),,he,,96.4
2015,percentage (%),german school graduates (share of all german leavers),,he,,96.5
2016,percentage (%),german school graduates (share of all german leavers),,he,,95.8
2017,percentage (%),german school graduates (share of all german leavers),,he,,95.9
2018,percentage (%),german school graduates (share of all german leavers),,he,,95.9
2019,percentage (%),german school graduates (share of all german leavers),,he,,95.8
1996,percentage (%),german school graduates (share of all german leavers),,mv,,90.6
1997,percentage (%),german school graduates (share of all german leavers),,mv,,90.8
1998,percentage (%),german school graduates (share of all german leavers),,mv,,90.3
1999,percentage (%),german school graduates (share of all german leavers),,mv,,89.6
2000,percentage (%),german school graduates (share of all german leavers),,mv,,89.1
2001,percentage (%),german school graduates (share of all german leavers),,mv,,86.4
2002,percentage (%),german school graduates (share of all german leavers),,mv,,89.4
2003,percentage (%),german school graduates (share of all german leavers),,mv,,89.8
2004,percentage (%),german school graduates (share of all german leavers),,mv,,90.3
2005,percentage (%),german school graduates (share of all german leavers),,mv,,89.3
2006,percentage (%),german school graduates (share of all german leavers),,mv,,88.7
2007,percentage (%),german school graduates (share of all german leavers),,mv,,89.7
2008,percentage (%),german school graduates (share of all german leavers),,mv,,90.3
2009,percentage (%),german school graduates (share of all german leavers),,mv,,87.9
2010,percentage (%),german school graduates (share of all german leavers),,mv,,86.8
2011,percentage (%),german school graduates (share of all german leavers),,mv,,86.0
2012,percentage (%),german school graduates (share of all german leavers),,mv,,87.7
