Year,Units,display,age,Bundesland,Kreis,GeoCode,Value
2012,percentage (%),a) time series,0- to 2-year-olds,,"neustadt an der weinstraße, stadt",code07316,14.2
2013,percentage (%),a) time series,0- to 2-year-olds,,"neustadt an der weinstraße, stadt",code07316,15.3
2014,percentage (%),a) time series,0- to 2-year-olds,,"neustadt an der weinstraße, stadt",code07316,15.8
2015,percentage (%),a) time series,0- to 2-year-olds,,"neustadt an der weinstraße, stadt",code07316,18.5
2016,percentage (%),a) time series,0- to 2-year-olds,,"neustadt an der weinstraße, stadt",code07316,15.7
2017,percentage (%),a) time series,0- to 2-year-olds,,"neustadt an der weinstraße, stadt",code07316,16.3
2018,percentage (%),a) time series,0- to 2-year-olds,,"neustadt an der weinstraße, stadt",code07316,19.1
2019,percentage (%),a) time series,0- to 2-year-olds,,"neustadt an der weinstraße, stadt",code07316,18.6
2012,percentage (%),a) time series,0- to 2-year-olds,,"pirmasens, stadt",code07317,10.1
2013,percentage (%),a) time series,0- to 2-year-olds,,"pirmasens, stadt",code07317,11.7
2014,percentage (%),a) time series,0- to 2-year-olds,,"pirmasens, stadt",code07317,12.2
2015,percentage (%),a) time series,0- to 2-year-olds,,"pirmasens, stadt",code07317,13.5
2016,percentage (%),a) time series,0- to 2-year-olds,,"pirmasens, stadt",code07317,12.5
2017,percentage (%),a) time series,0- to 2-year-olds,,"pirmasens, stadt",code07317,14.6
2018,percentage (%),a) time series,0- to 2-year-olds,,"pirmasens, stadt",code07317,13.6
2019,percentage (%),a) time series,0- to 2-year-olds,,"pirmasens, stadt",code07317,16.4
2012,percentage (%),a) time series,0- to 2-year-olds,,"speyer, stadt",code07318,14.5
2013,percentage (%),a) time series,0- to 2-year-olds,,"speyer, stadt",code07318,17.4
2014,percentage (%),a) time series,0- to 2-year-olds,,"speyer, stadt",code07318,17.5
2015,percentage (%),a) time series,0- to 2-year-olds,,"speyer, stadt",code07318,17.0
2016,percentage (%),a) time series,0- to 2-year-olds,,"speyer, stadt",code07318,21.3
2017,percentage (%),a) time series,0- to 2-year-olds,,"speyer, stadt",code07318,19.1
2018,percentage (%),a) time series,0- to 2-year-olds,,"speyer, stadt",code07318,21.5
2019,percentage (%),a) time series,0- to 2-year-olds,,"speyer, stadt",code07318,22.6
2012,percentage (%),a) time series,0- to 2-year-olds,,"worms, stadt",code07319,7.9
2013,percentage (%),a) time series,0- to 2-year-olds,,"worms, stadt",code07319,8.3
2014,percentage (%),a) time series,0- to 2-year-olds,,"worms, stadt",code07319,9.1
2015,percentage (%),a) time series,0- to 2-year-olds,,"worms, stadt",code07319,9.8
2016,percentage (%),a) time series,0- to 2-year-olds,,"worms, stadt",code07319,11.1
2017,percentage (%),a) time series,0- to 2-year-olds,,"worms, stadt",code07319,10.0
2018,percentage (%),a) time series,0- to 2-year-olds,,"worms, stadt",code07319,11.8
2019,percentage (%),a) time series,0- to 2-year-olds,,"worms, stadt",code07319,11.1
2012,percentage (%),a) time series,0- to 2-year-olds,,"zweibrücken, stadt",code07320,9.7
2013,percentage (%),a) time series,0- to 2-year-olds,,"zweibrücken, stadt",code07320,9.3
2014,percentage (%),a) time series,0- to 2-year-olds,,"zweibrücken, stadt",code07320,13.0
2015,percentage (%),a) time series,0- to 2-year-olds,,"zweibrücken, stadt",code07320,14.6
2016,percentage (%),a) time series,0- to 2-year-olds,,"zweibrücken, stadt",code07320,12.7
2017,percentage (%),a) time series,0- to 2-year-olds,,"zweibrücken, stadt",code07320,14.1
2018,percentage (%),a) time series,0- to 2-year-olds,,"zweibrücken, stadt",code07320,13.9
2019,percentage (%),a) time series,0- to 2-year-olds,,"zweibrücken, stadt",code07320,12.6
2012,percentage (%),a) time series,0- to 2-year-olds,,alzey-worms,code07331,11.4
2013,percentage (%),a) time series,0- to 2-year-olds,,alzey-worms,code07331,11.7
2014,percentage (%),a) time series,0- to 2-year-olds,,alzey-worms,code07331,11.7
2015,percentage (%),a) time series,0- to 2-year-olds,,alzey-worms,code07331,13.7
2016,percentage (%),a) time series,0- to 2-year-olds,,alzey-worms,code07331,14.1
2017,percentage (%),a) time series,0- to 2-year-olds,,alzey-worms,code07331,16.1
2018,percentage (%),a) time series,0- to 2-year-olds,,alzey-worms,code07331,14.3
2019,percentage (%),a) time series,0- to 2-year-olds,,alzey-worms,code07331,15.0
2012,percentage (%),a) time series,0- to 2-year-olds,,bad dürkheim,code07332,16.5
2013,percentage (%),a) time series,0- to 2-year-olds,,bad dürkheim,code07332,15.7
2014,percentage (%),a) time series,0- to 2-year-olds,,bad dürkheim,code07332,18.0
2015,percentage (%),a) time series,0- to 2-year-olds,,bad dürkheim,code07332,18.8
2016,percentage (%),a) time series,0- to 2-year-olds,,bad dürkheim,code07332,17.7
2017,percentage (%),a) time series,0- to 2-year-olds,,bad dürkheim,code07332,18.5
2018,percentage (%),a) time series,0- to 2-year-olds,,bad dürkheim,code07332,17.8
2019,percentage (%),a) time series,0- to 2-year-olds,,bad dürkheim,code07332,20.1
2012,percentage (%),a) time series,0- to 2-year-olds,,donnersbergkreis,code07333,11.3
2013,percentage (%),a) time series,0- to 2-year-olds,,donnersbergkreis,code07333,9.7
2014,percentage (%),a) time series,0- to 2-year-olds,,donnersbergkreis,code07333,13.2
2015,percentage (%),a) time series,0- to 2-year-olds,,donnersbergkreis,code07333,12.5
2016,percentage (%),a) time series,0- to 2-year-olds,,donnersbergkreis,code07333,12.6
2017,percentage (%),a) time series,0- to 2-year-olds,,donnersbergkreis,code07333,14.2
2018,percentage (%),a) time series,0- to 2-year-olds,,donnersbergkreis,code07333,14.7
2019,percentage (%),a) time series,0- to 2-year-olds,,donnersbergkreis,code07333,15.6
2012,percentage (%),a) time series,0- to 2-year-olds,,germersheim,code07334,12.5
2013,percentage (%),a) time series,0- to 2-year-olds,,germersheim,code07334,13.4
2014,percentage (%),a) time series,0- to 2-year-olds,,germersheim,code07334,15.1
2015,percentage (%),a) time series,0- to 2-year-olds,,germersheim,code07334,14.4
2016,percentage (%),a) time series,0- to 2-year-olds,,germersheim,code07334,13.5
2017,percentage (%),a) time series,0- to 2-year-olds,,germersheim,code07334,15.0
2018,percentage (%),a) time series,0- to 2-year-olds,,germersheim,code07334,14.2
2019,percentage (%),a) time series,0- to 2-year-olds,,germersheim,code07334,16.0
2012,percentage (%),a) time series,0- to 2-year-olds,,kaiserslautern,code07335,13.9
2013,percentage (%),a) time series,0- to 2-year-olds,,kaiserslautern,code07335,14.2
2014,percentage (%),a) time series,0- to 2-year-olds,,kaiserslautern,code07335,15.8
2015,percentage (%),a) time series,0- to 2-year-olds,,kaiserslautern,code07335,14.3
2016,percentage (%),a) time series,0- to 2-year-olds,,kaiserslautern,code07335,16.0
2017,percentage (%),a) time series,0- to 2-year-olds,,kaiserslautern,code07335,14.5
2018,percentage (%),a) time series,0- to 2-year-olds,,kaiserslautern,code07335,14.5
2019,percentage (%),a) time series,0- to 2-year-olds,,kaiserslautern,code07335,15.0
2012,percentage (%),a) time series,0- to 2-year-olds,,kusel,code07336,9.1
2013,percentage (%),a) time series,0- to 2-year-olds,,kusel,code07336,11.7
2014,percentage (%),a) time series,0- to 2-year-olds,,kusel,code07336,12.0
2015,percentage (%),a) time series,0- to 2-year-olds,,kusel,code07336,10.7
2016,percentage (%),a) time series,0- to 2-year-olds,,kusel,code07336,13.8
2017,percentage (%),a) time series,0- to 2-year-olds,,kusel,code07336,13.4
2018,percentage (%),a) time series,0- to 2-year-olds,,kusel,code07336,12.8
2019,percentage (%),a) time series,0- to 2-year-olds,,kusel,code07336,13.9
2012,percentage (%),a) time series,0- to 2-year-olds,,südliche weinstraße,code07337,12.4
2013,percentage (%),a) time series,0- to 2-year-olds,,südliche weinstraße,code07337,10.8
2014,percentage (%),a) time series,0- to 2-year-olds,,südliche weinstraße,code07337,13.9
2015,percentage (%),a) time series,0- to 2-year-olds,,südliche weinstraße,code07337,12.5
2016,percentage (%),a) time series,0- to 2-year-olds,,südliche weinstraße,code07337,13.9
2017,percentage (%),a) time series,0- to 2-year-olds,,südliche weinstraße,code07337,14.8
2018,percentage (%),a) time series,0- to 2-year-olds,,südliche weinstraße,code07337,15.8
2019,percentage (%),a) time series,0- to 2-year-olds,,südliche weinstraße,code07337,16.1
2012,percentage (%),a) time series,0- to 2-year-olds,,rhein-pfalz-kreis,code07338,16.2
2013,percentage (%),a) time series,0- to 2-year-olds,,rhein-pfalz-kreis,code07338,15.7
2014,percentage (%),a) time series,0- to 2-year-olds,,rhein-pfalz-kreis,code07338,18.5
2015,percentage (%),a) time series,0- to 2-year-olds,,rhein-pfalz-kreis,code07338,18.7
2016,percentage (%),a) time series,0- to 2-year-olds,,rhein-pfalz-kreis,code07338,18.5
2017,percentage (%),a) time series,0- to 2-year-olds,,rhein-pfalz-kreis,code07338,18.4
2018,percentage (%),a) time series,0- to 2-year-olds,,rhein-pfalz-kreis,code07338,17.3
2019,percentage (%),a) time series,0- to 2-year-olds,,rhein-pfalz-kreis,code07338,18.6
2012,percentage (%),a) time series,0- to 2-year-olds,,mainz-bingen,code07339,20.3
2013,percentage (%),a) time series,0- to 2-year-olds,,mainz-bingen,code07339,21.5
2014,percentage (%),a) time series,0- to 2-year-olds,,mainz-bingen,code07339,24.4
2015,percentage (%),a) time series,0- to 2-year-olds,,mainz-bingen,code07339,23.2
2016,percentage (%),a) time series,0- to 2-year-olds,,mainz-bingen,code07339,22.5
2017,percentage (%),a) time series,0- to 2-year-olds,,mainz-bingen,code07339,25.4
2018,percentage (%),a) time series,0- to 2-year-olds,,mainz-bingen,code07339,24.3
2019,percentage (%),a) time series,0- to 2-year-olds,,mainz-bingen,code07339,25.5
2012,percentage (%),a) time series,0- to 2-year-olds,,südwestpfalz,code07340,15.8
2013,percentage (%),a) time series,0- to 2-year-olds,,südwestpfalz,code07340,16.4
2014,percentage (%),a) time series,0- to 2-year-olds,,südwestpfalz,code07340,17.5
2015,percentage (%),a) time series,0- to 2-year-olds,,südwestpfalz,code07340,17.6
2016,percentage (%),a) time series,0- to 2-year-olds,,südwestpfalz,code07340,18.1
2017,percentage (%),a) time series,0- to 2-year-olds,,südwestpfalz,code07340,18.3
2018,percentage (%),a) time series,0- to 2-year-olds,,südwestpfalz,code07340,19.8
2019,percentage (%),a) time series,0- to 2-year-olds,,südwestpfalz,code07340,20.1
2012,percentage (%),a) time series,0- to 2-year-olds,,"saarbrücken, regionalverband",code10041,11.4
2013,percentage (%),a) time series,0- to 2-year-olds,,"saarbrücken, regionalverband",code10041,15.6
2014,percentage (%),a) time series,0- to 2-year-olds,,"saarbrücken, regionalverband",code10041,17.4
2015,percentage (%),a) time series,0- to 2-year-olds,,"saarbrücken, regionalverband",code10041,22.1
2016,percentage (%),a) time series,0- to 2-year-olds,,"saarbrücken, regionalverband",code10041,22.1
2017,percentage (%),a) time series,0- to 2-year-olds,,"saarbrücken, regionalverband",code10041,21.7
2018,percentage (%),a) time series,0- to 2-year-olds,,"saarbrücken, regionalverband",code10041,21.7
2019,percentage (%),a) time series,0- to 2-year-olds,,"saarbrücken, regionalverband",code10041,22.1
2012,percentage (%),a) time series,0- to 2-year-olds,,merzig-wadern,code10042,15.2
2013,percentage (%),a) time series,0- to 2-year-olds,,merzig-wadern,code10042,17.2
2014,percentage (%),a) time series,0- to 2-year-olds,,merzig-wadern,code10042,21.5
2015,percentage (%),a) time series,0- to 2-year-olds,,merzig-wadern,code10042,23.5
2016,percentage (%),a) time series,0- to 2-year-olds,,merzig-wadern,code10042,25.3
2017,percentage (%),a) time series,0- to 2-year-olds,,merzig-wadern,code10042,24.0
2018,percentage (%),a) time series,0- to 2-year-olds,,merzig-wadern,code10042,24.8
2019,percentage (%),a) time series,0- to 2-year-olds,,merzig-wadern,code10042,22.1
2012,percentage (%),a) time series,0- to 2-year-olds,,neunkirchen,code10043,14.9
2013,percentage (%),a) time series,0- to 2-year-olds,,neunkirchen,code10043,16.0
2014,percentage (%),a) time series,0- to 2-year-olds,,neunkirchen,code10043,18.8
2015,percentage (%),a) time series,0- to 2-year-olds,,neunkirchen,code10043,21.4
2016,percentage (%),a) time series,0- to 2-year-olds,,neunkirchen,code10043,21.8
2017,percentage (%),a) time series,0- to 2-year-olds,,neunkirchen,code10043,19.7
2018,percentage (%),a) time series,0- to 2-year-olds,,neunkirchen,code10043,18.8
2019,percentage (%),a) time series,0- to 2-year-olds,,neunkirchen,code10043,24.3
2012,percentage (%),a) time series,0- to 2-year-olds,,saarlouis,code10044,13.3
2013,percentage (%),a) time series,0- to 2-year-olds,,saarlouis,code10044,16.1
2014,percentage (%),a) time series,0- to 2-year-olds,,saarlouis,code10044,18.8
2015,percentage (%),a) time series,0- to 2-year-olds,,saarlouis,code10044,20.9
2016,percentage (%),a) time series,0- to 2-year-olds,,saarlouis,code10044,20.7
2017,percentage (%),a) time series,0- to 2-year-olds,,saarlouis,code10044,22.0
2018,percentage (%),a) time series,0- to 2-year-olds,,saarlouis,code10044,22.7
2019,percentage (%),a) time series,0- to 2-year-olds,,saarlouis,code10044,20.7
2012,percentage (%),a) time series,0- to 2-year-olds,,saarpfalz-kreis,code10045,20.2
2013,percentage (%),a) time series,0- to 2-year-olds,,saarpfalz-kreis,code10045,24.1
2014,percentage (%),a) time series,0- to 2-year-olds,,saarpfalz-kreis,code10045,25.3
2015,percentage (%),a) time series,0- to 2-year-olds,,saarpfalz-kreis,code10045,25.8
2016,percentage (%),a) time series,0- to 2-year-olds,,saarpfalz-kreis,code10045,27.0
2017,percentage (%),a) time series,0- to 2-year-olds,,saarpfalz-kreis,code10045,27.8
2018,percentage (%),a) time series,0- to 2-year-olds,,saarpfalz-kreis,code10045,27.7
2019,percentage (%),a) time series,0- to 2-year-olds,,saarpfalz-kreis,code10045,25.1
2012,percentage (%),a) time series,0- to 2-year-olds,,st. wendel,code10046,14.3
2013,percentage (%),a) time series,0- to 2-year-olds,,st. wendel,code10046,14.7
2014,percentage (%),a) time series,0- to 2-year-olds,,st. wendel,code10046,17.8
2015,percentage (%),a) time series,0- to 2-year-olds,,st. wendel,code10046,18.7
2016,percentage (%),a) time series,0- to 2-year-olds,,st. wendel,code10046,18.9
2017,percentage (%),a) time series,0- to 2-year-olds,,st. wendel,code10046,19.1
2018,percentage (%),a) time series,0- to 2-year-olds,,st. wendel,code10046,20.4
2019,percentage (%),a) time series,0- to 2-year-olds,,st. wendel,code10046,27.9
2012,percentage (%),a) time series,0- to 2-year-olds,,"chemnitz, stadt",code14511,40.5
2013,percentage (%),a) time series,0- to 2-year-olds,,"chemnitz, stadt",code14511,41.7
2014,percentage (%),a) time series,0- to 2-year-olds,,"chemnitz, stadt",code14511,42.4
2015,percentage (%),a) time series,0- to 2-year-olds,,"chemnitz, stadt",code14511,43.1
2016,percentage (%),a) time series,0- to 2-year-olds,,"chemnitz, stadt",code14511,41.0
2017,percentage (%),a) time series,0- to 2-year-olds,,"chemnitz, stadt",code14511,42.3
2018,percentage (%),a) time series,0- to 2-year-olds,,"chemnitz, stadt",code14511,40.5
2019,percentage (%),a) time series,0- to 2-year-olds,,"chemnitz, stadt",code14511,42.6
2012,percentage (%),a) time series,0- to 2-year-olds,,erzgebirgskreis,code14521,25.7
2013,percentage (%),a) time series,0- to 2-year-olds,,erzgebirgskreis,code14521,28.1
2014,percentage (%),a) time series,0- to 2-year-olds,,erzgebirgskreis,code14521,30.5
2015,percentage (%),a) time series,0- to 2-year-olds,,erzgebirgskreis,code14521,31.4
2016,percentage (%),a) time series,0- to 2-year-olds,,erzgebirgskreis,code14521,33.2
2017,percentage (%),a) time series,0- to 2-year-olds,,erzgebirgskreis,code14521,34.4
2018,percentage (%),a) time series,0- to 2-year-olds,,erzgebirgskreis,code14521,35.8
2019,percentage (%),a) time series,0- to 2-year-olds,,erzgebirgskreis,code14521,36.9
2012,percentage (%),a) time series,0- to 2-year-olds,,mittelsachsen,code14522,36.8
2013,percentage (%),a) time series,0- to 2-year-olds,,mittelsachsen,code14522,37.5
2014,percentage (%),a) time series,0- to 2-year-olds,,mittelsachsen,code14522,38.2
2015,percentage (%),a) time series,0- to 2-year-olds,,mittelsachsen,code14522,41.5
2016,percentage (%),a) time series,0- to 2-year-olds,,mittelsachsen,code14522,42.0
2017,percentage (%),a) time series,0- to 2-year-olds,,mittelsachsen,code14522,41.4
2018,percentage (%),a) time series,0- to 2-year-olds,,mittelsachsen,code14522,44.2
2019,percentage (%),a) time series,0- to 2-year-olds,,mittelsachsen,code14522,45.3
2012,percentage (%),a) time series,0- to 2-year-olds,,vogtlandkreis,code14523,30.7
2013,percentage (%),a) time series,0- to 2-year-olds,,vogtlandkreis,code14523,30.8
2014,percentage (%),a) time series,0- to 2-year-olds,,vogtlandkreis,code14523,34.1
2015,percentage (%),a) time series,0- to 2-year-olds,,vogtlandkreis,code14523,34.9
2016,percentage (%),a) time series,0- to 2-year-olds,,vogtlandkreis,code14523,34.8
2017,percentage (%),a) time series,0- to 2-year-olds,,vogtlandkreis,code14523,35.4
2018,percentage (%),a) time series,0- to 2-year-olds,,vogtlandkreis,code14523,38.6
2019,percentage (%),a) time series,0- to 2-year-olds,,vogtlandkreis,code14523,39.1
2012,percentage (%),a) time series,0- to 2-year-olds,,zwickau,code14524,34.8
2013,percentage (%),a) time series,0- to 2-year-olds,,zwickau,code14524,37.6
2014,percentage (%),a) time series,0- to 2-year-olds,,zwickau,code14524,39.0
2015,percentage (%),a) time series,0- to 2-year-olds,,zwickau,code14524,39.9
2016,percentage (%),a) time series,0- to 2-year-olds,,zwickau,code14524,41.2
2017,percentage (%),a) time series,0- to 2-year-olds,,zwickau,code14524,41.7
2018,percentage (%),a) time series,0- to 2-year-olds,,zwickau,code14524,41.4
2019,percentage (%),a) time series,0- to 2-year-olds,,zwickau,code14524,42.3
2012,percentage (%),a) time series,0- to 2-year-olds,,"dresden, stadt",code14612,41.3
2013,percentage (%),a) time series,0- to 2-year-olds,,"dresden, stadt",code14612,40.4
2014,percentage (%),a) time series,0- to 2-year-olds,,"dresden, stadt",code14612,46.2
2015,percentage (%),a) time series,0- to 2-year-olds,,"dresden, stadt",code14612,47.3
2016,percentage (%),a) time series,0- to 2-year-olds,,"dresden, stadt",code14612,47.8
2017,percentage (%),a) time series,0- to 2-year-olds,,"dresden, stadt",code14612,47.1
2018,percentage (%),a) time series,0- to 2-year-olds,,"dresden, stadt",code14612,47.1
2019,percentage (%),a) time series,0- to 2-year-olds,,"dresden, stadt",code14612,47.7
2012,percentage (%),a) time series,0- to 2-year-olds,,bautzen,code14625,36.6
2013,percentage (%),a) time series,0- to 2-year-olds,,bautzen,code14625,38.4
2014,percentage (%),a) time series,0- to 2-year-olds,,bautzen,code14625,40.2
2015,percentage (%),a) time series,0- to 2-year-olds,,bautzen,code14625,41.6
2016,percentage (%),a) time series,0- to 2-year-olds,,bautzen,code14625,42.7
2017,percentage (%),a) time series,0- to 2-year-olds,,bautzen,code14625,42.8
2018,percentage (%),a) time series,0- to 2-year-olds,,bautzen,code14625,45.8
2019,percentage (%),a) time series,0- to 2-year-olds,,bautzen,code14625,48.5
2012,percentage (%),a) time series,0- to 2-year-olds,,görlitz,code14626,32.0
2013,percentage (%),a) time series,0- to 2-year-olds,,görlitz,code14626,34.7
2014,percentage (%),a) time series,0- to 2-year-olds,,görlitz,code14626,35.7
2015,percentage (%),a) time series,0- to 2-year-olds,,görlitz,code14626,36.5
2016,percentage (%),a) time series,0- to 2-year-olds,,görlitz,code14626,37.9
2017,percentage (%),a) time series,0- to 2-year-olds,,görlitz,code14626,38.6
2018,percentage (%),a) time series,0- to 2-year-olds,,görlitz,code14626,38.8
2019,percentage (%),a) time series,0- to 2-year-olds,,görlitz,code14626,41.2
2012,percentage (%),a) time series,0- to 2-year-olds,,meißen,code14627,37.2
2013,percentage (%),a) time series,0- to 2-year-olds,,meißen,code14627,39.7
2014,percentage (%),a) time series,0- to 2-year-olds,,meißen,code14627,42.8
2015,percentage (%),a) time series,0- to 2-year-olds,,meißen,code14627,42.2
2016,percentage (%),a) time series,0- to 2-year-olds,,meißen,code14627,43.0
2017,percentage (%),a) time series,0- to 2-year-olds,,meißen,code14627,44.0
2018,percentage (%),a) time series,0- to 2-year-olds,,meißen,code14627,44.4
2019,percentage (%),a) time series,0- to 2-year-olds,,meißen,code14627,46.9
2012,percentage (%),a) time series,0- to 2-year-olds,,sächsische schweiz-osterzgebirge,code14628,39.9
2013,percentage (%),a) time series,0- to 2-year-olds,,sächsische schweiz-osterzgebirge,code14628,42.3
2014,percentage (%),a) time series,0- to 2-year-olds,,sächsische schweiz-osterzgebirge,code14628,44.2
2015,percentage (%),a) time series,0- to 2-year-olds,,sächsische schweiz-osterzgebirge,code14628,45.2
2016,percentage (%),a) time series,0- to 2-year-olds,,sächsische schweiz-osterzgebirge,code14628,46.2
2017,percentage (%),a) time series,0- to 2-year-olds,,sächsische schweiz-osterzgebirge,code14628,47.0
2018,percentage (%),a) time series,0- to 2-year-olds,,sächsische schweiz-osterzgebirge,code14628,47.9
2019,percentage (%),a) time series,0- to 2-year-olds,,sächsische schweiz-osterzgebirge,code14628,49.0
2012,percentage (%),a) time series,0- to 2-year-olds,,"leipzig, stadt",code14713,37.4
2013,percentage (%),a) time series,0- to 2-year-olds,,"leipzig, stadt",code14713,39.2
2014,percentage (%),a) time series,0- to 2-year-olds,,"leipzig, stadt",code14713,41.0
2015,percentage (%),a) time series,0- to 2-year-olds,,"leipzig, stadt",code14713,42.2
2016,percentage (%),a) time series,0- to 2-year-olds,,"leipzig, stadt",code14713,42.3
2017,percentage (%),a) time series,0- to 2-year-olds,,"leipzig, stadt",code14713,41.9
2018,percentage (%),a) time series,0- to 2-year-olds,,"leipzig, stadt",code14713,41.9
2019,percentage (%),a) time series,0- to 2-year-olds,,"leipzig, stadt",code14713,44.2
2012,percentage (%),a) time series,0- to 2-year-olds,,leipzig,code14729,42.9
2013,percentage (%),a) time series,0- to 2-year-olds,,leipzig,code14729,46.0
2014,percentage (%),a) time series,0- to 2-year-olds,,leipzig,code14729,48.9
2015,percentage (%),a) time series,0- to 2-year-olds,,leipzig,code14729,47.7
2016,percentage (%),a) time series,0- to 2-year-olds,,leipzig,code14729,47.8
2017,percentage (%),a) time series,0- to 2-year-olds,,leipzig,code14729,47.6
2018,percentage (%),a) time series,0- to 2-year-olds,,leipzig,code14729,48.3
2019,percentage (%),a) time series,0- to 2-year-olds,,leipzig,code14729,49.5
2012,percentage (%),a) time series,0- to 2-year-olds,,nordsachsen,code14730,40.6
2013,percentage (%),a) time series,0- to 2-year-olds,,nordsachsen,code14730,41.4
2014,percentage (%),a) time series,0- to 2-year-olds,,nordsachsen,code14730,43.6
2015,percentage (%),a) time series,0- to 2-year-olds,,nordsachsen,code14730,44.8
2016,percentage (%),a) time series,0- to 2-year-olds,,nordsachsen,code14730,44.3
2017,percentage (%),a) time series,0- to 2-year-olds,,nordsachsen,code14730,43.6
2018,percentage (%),a) time series,0- to 2-year-olds,,nordsachsen,code14730,45.7
2019,percentage (%),a) time series,0- to 2-year-olds,,nordsachsen,code14730,45.3
2012,percentage (%),a) time series,0- to 2-year-olds,,"dessau-roßlau, stadt",code15001,35.7
2013,percentage (%),a) time series,0- to 2-year-olds,,"dessau-roßlau, stadt",code15001,38.5
2014,percentage (%),a) time series,0- to 2-year-olds,,"dessau-roßlau, stadt",code15001,45.2
2015,percentage (%),a) time series,0- to 2-year-olds,,"dessau-roßlau, stadt",code15001,48.3
2016,percentage (%),a) time series,0- to 2-year-olds,,"dessau-roßlau, stadt",code15001,46.1
2017,percentage (%),a) time series,0- to 2-year-olds,,"dessau-roßlau, stadt",code15001,44.3
2018,percentage (%),a) time series,0- to 2-year-olds,,"dessau-roßlau, stadt",code15001,43.9
2019,percentage (%),a) time series,0- to 2-year-olds,,"dessau-roßlau, stadt",code15001,45.5
2012,percentage (%),a) time series,0- to 2-year-olds,,"halle (saale), stadt",code15002,36.2
2013,percentage (%),a) time series,0- to 2-year-olds,,"halle (saale), stadt",code15002,36.5
2014,percentage (%),a) time series,0- to 2-year-olds,,"halle (saale), stadt",code15002,44.0
2015,percentage (%),a) time series,0- to 2-year-olds,,"halle (saale), stadt",code15002,39.9
2016,percentage (%),a) time series,0- to 2-year-olds,,"halle (saale), stadt",code15002,37.5
2017,percentage (%),a) time series,0- to 2-year-olds,,"halle (saale), stadt",code15002,37.9
2018,percentage (%),a) time series,0- to 2-year-olds,,"halle (saale), stadt",code15002,36.2
2019,percentage (%),a) time series,0- to 2-year-olds,,"halle (saale), stadt",code15002,35.1
2012,percentage (%),a) time series,0- to 2-year-olds,,"magdeburg, stadt",code15003,39.9
2013,percentage (%),a) time series,0- to 2-year-olds,,"magdeburg, stadt",code15003,39.9
2014,percentage (%),a) time series,0- to 2-year-olds,,"magdeburg, stadt",code15003,51.2
2015,percentage (%),a) time series,0- to 2-year-olds,,"magdeburg, stadt",code15003,52.0
2016,percentage (%),a) time series,0- to 2-year-olds,,"magdeburg, stadt",code15003,51.5
2017,percentage (%),a) time series,0- to 2-year-olds,,"magdeburg, stadt",code15003,50.2
2018,percentage (%),a) time series,0- to 2-year-olds,,"magdeburg, stadt",code15003,50.0
2019,percentage (%),a) time series,0- to 2-year-olds,,"magdeburg, stadt",code15003,52.7
2012,percentage (%),a) time series,0- to 2-year-olds,,altmarkkreis salzwedel,code15081,35.1
2013,percentage (%),a) time series,0- to 2-year-olds,,altmarkkreis salzwedel,code15081,38.7
2014,percentage (%),a) time series,0- to 2-year-olds,,altmarkkreis salzwedel,code15081,43.7
2015,percentage (%),a) time series,0- to 2-year-olds,,altmarkkreis salzwedel,code15081,44.3
2016,percentage (%),a) time series,0- to 2-year-olds,,altmarkkreis salzwedel,code15081,44.4
2017,percentage (%),a) time series,0- to 2-year-olds,,altmarkkreis salzwedel,code15081,46.9
2018,percentage (%),a) time series,0- to 2-year-olds,,altmarkkreis salzwedel,code15081,48.9
2019,percentage (%),a) time series,0- to 2-year-olds,,altmarkkreis salzwedel,code15081,50.3
2012,percentage (%),a) time series,0- to 2-year-olds,,anhalt-bitterfeld,code15082,34.4
2013,percentage (%),a) time series,0- to 2-year-olds,,anhalt-bitterfeld,code15082,34.8
2014,percentage (%),a) time series,0- to 2-year-olds,,anhalt-bitterfeld,code15082,44.6
2015,percentage (%),a) time series,0- to 2-year-olds,,anhalt-bitterfeld,code15082,45.2
2016,percentage (%),a) time series,0- to 2-year-olds,,anhalt-bitterfeld,code15082,45.4
2017,percentage (%),a) time series,0- to 2-year-olds,,anhalt-bitterfeld,code15082,46.1
2018,percentage (%),a) time series,0- to 2-year-olds,,anhalt-bitterfeld,code15082,46.1
2019,percentage (%),a) time series,0- to 2-year-olds,,anhalt-bitterfeld,code15082,48.6
2012,percentage (%),a) time series,0- to 2-year-olds,,börde,code15083,46.1
2013,percentage (%),a) time series,0- to 2-year-olds,,börde,code15083,45.3
2014,percentage (%),a) time series,0- to 2-year-olds,,börde,code15083,53.9
2015,percentage (%),a) time series,0- to 2-year-olds,,börde,code15083,55.5
2016,percentage (%),a) time series,0- to 2-year-olds,,börde,code15083,53.3
2017,percentage (%),a) time series,0- to 2-year-olds,,börde,code15083,52.5
2018,percentage (%),a) time series,0- to 2-year-olds,,börde,code15083,53.9
2019,percentage (%),a) time series,0- to 2-year-olds,,börde,code15083,54.9
2012,percentage (%),a) time series,0- to 2-year-olds,,burgenlandkreis,code15084,37.9
2013,percentage (%),a) time series,0- to 2-year-olds,,burgenlandkreis,code15084,37.8
2014,percentage (%),a) time series,0- to 2-year-olds,,burgenlandkreis,code15084,46.5
2015,percentage (%),a) time series,0- to 2-year-olds,,burgenlandkreis,code15084,46.8
2016,percentage (%),a) time series,0- to 2-year-olds,,burgenlandkreis,code15084,47.8
